annotator_set,V1,V2,V3,V4,V5,V6,V7,V8
All annotators,0.596,0.158,0.065,0.192,0.36,0.353,0.34,0.305
"Humans only (H1, H2)",0.695,-0.042,-0.01,,0.355,0.229,-0.026,0.321
LLMs only (3 models),0.661,0.41,0.077,0.405,0.338,0.552,0.561,0.484
H1 + GPT-4o,0.339,-0.009,-0.01,-0.01,0.205,0.229,0.139,0.306
H1 + Claude Sonnet,0.551,-0.206,0.0,-0.01,0.373,0.25,-0.073,-0.036
H1 + Llama 3.1-8B,0.442,-0.137,-0.076,-0.065,0.078,0.079,-0.137,0.08
H2 + GPT-4o,0.603,0.062,-0.01,-0.01,0.474,0.376,0.528,0.256
H2 + Claude Sonnet,0.628,-0.015,0.0,-0.01,0.676,0.35,0.57,0.232
H2 + Llama 3.1-8B,0.676,0.111,0.176,-0.065,0.213,0.185,0.218,0.11
GPT-4o + Claude Sonnet,0.752,0.313,0.0,0.494,0.583,0.66,0.719,0.389
GPT-4o + Llama 3.1-8B,0.599,0.28,0.176,0.37,0.153,0.481,0.561,0.537
Claude Sonnet + Llama 3.1-8B,0.646,0.615,-0.065,0.383,0.15,0.485,0.366,0.49
