row_id,political_leaning,text,hashtags,post_type,like_count,date
1,republican,"Protecting access to fertility treatments is personal for @Tim_Walz and @GwenWalz, as it is for millions of families in America.

It’s brought them Hope—literally.

Donald Trump put the miracle of IVF at risk for families desperately trying to have children when he helped https://t.co/S8aVFUt5gR",[],tweet,21071,2024-08-11
2,republican,"Top conservative think tank exposes how Dems have 'abandoned ordinary Americans' with major shift to left.

Pence's group said the party has changed the most on abortion and immigration | Fox News https://t.co/IXP9TJXJiL",[],tweet,263,2024-08-19
3,republican,"This is what leaders do. Chickenshits, lemmings and MAGA cowards — get out of the way, or get run over. https://t.co/FXdaD0K9J2",[],tweet,4596,2024-08-14
4,republican,"@dieworkwear As an aside to this brilliant thread, the irony of Henry’s post is that no herd is so regulated as conservative men.",[],reply,277,2024-08-18
5,republican,"TRUMP POLL NUMBERS CRATER: Kamala up +9 in Wisconsin; Trump under 50% in Ohio; NC is TIED; Kamala up in conservative RCP 

TRUMP’S “IRAN HACKED US” story cracks; FBI vaguely ‘investigates’

TRUMP’S MUSK CHAT crashes

GET THE TUESDAY COUNTDOWN PODCAST: https://t.co/QTrRWmvb94 https://t.co/1XYHFEk8NQ",[],tweet,290,2024-08-13
6,republican,"Donald Trump Does Not Know the ‘Correct’ Interest Rate
https://t.co/S5PTHLsynn",[],tweet,289,2024-08-19
7,republican,"🚨BREAKING: Donald Trump Says  ""If you come here from another country and try to bring Jihadism or anti-Americanism or antisemitism to campuses we will immediately DEPORT you.”

Do you support Trump?

Yes or No? https://t.co/6pbxT7RAiv",[],tweet,479,2024-08-10
8,republican,@cmclymer Fox clearly doesn’t have a research department nor do these folks have very good memories! WE remember GOP &amp; FOX were fine when Republicans made their SOTU rebuttal from the kitchen. Why the fuss when #Kamala4President2024 uses one!?!? https://t.co/nbDJWpR5Av,"""[{'indices': [215, 236], 'text': 'Kamala4President2024'}]""",reply,268,2024-08-09
9,republican,Donald Trump is going to receive less than 10% of the Black vote. Harris will collect 90%+. Factor that into any fleeting survey results in the meantime.,[],tweet,262,2024-08-04
10,republican,occasional reminder that there's an actual MAGA communist party in spain https://t.co/bYubhIOkoM,[],tweet,220,2024-08-20
11,republican,Michelle Obama just buried Donald Trump.,[],tweet,1701,2024-08-21
12,republican,"""I am a big fan of Hindus and a big big fan of India""

~ Donald Trump https://t.co/m3mhfZxhoA",[],tweet,4139,2024-08-13
13,republican,"The biggest electoral danger that Republicans face is not Donald Trump losing but Donald Trump sinking the Senate, the house, and a large number of down ballot state races. 

At some point someone is going to need to have the courage to speak out about Trump sabatoging the GOP.",[],tweet,503,2024-08-08
14,republican,"Pete Buttigieg says Donald Trump’s attacks on Tim Walz are ""pretty mushy and lazy""

https://t.co/IdrPT6HRsf",[],tweet,130,2024-08-11
15,republican,Who should Donald Trump prioritize for release if he is elected President again? 🇺🇸 https://t.co/mwGev8RpkU,[],tweet,554,2024-08-09
16,republican,"@eclecticbrotha Wolf in sheep clothing repubs like Tim Miller is truly have some nerve telling Dems how to structure OUR convention, knowing the only reason they are even w/Dems is because GOP can't shake Chump...but when/if they do, they'll be back on that GOP plantation chucking shit at Dems.",[],reply,106,2024-08-20
17,republican,Donald Trump Takes The Stage In Montana https://t.co/64PcIwY9ug,[],tweet,3942,2024-08-10
18,republican,"@_wake_up_USA It's Mr President to you Whoopi Poopie,45,46,47. 
MAGA!!🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/Tnf3P3FeGZ",[],reply,113,2024-08-15
19,republican,"He said ""No way""
I said ""Way""

- Donald Trump",[],tweet,2909,2024-08-13
20,republican,@DC_Draino God is with Trump. He will continue to protect him. #Trump2024 #LoveBeyondColor,"""[{'indices': [63, 73], 'text': 'Trump2024'}, {'indices': [74, 90], 'text': 'LoveBeyondColor'}]""",reply,170,2024-08-09
21,republican,@BMeiselas MAGA are full of hate😾there so jealous they can’t see straight,[],reply,408,2024-08-20
22,republican,"“The only thing that’s not obsolete is a wall and a wheel.”

— Donald Trump.",[],tweet,105,2024-08-13
23,republican,"@fred_guttenberg @realDonaldTrump This is a great time to remind everyone that:

1) Donald Trump raped little girls procured for him by Jeffrey Epstein &amp; the MSM is ignoring the new #TrumpPedoFiles release 

2) #TrumpIsACoward who blocked me in 2015 &amp; I'll never understand why anyone's scared of him https://t.co/qNysQkj9JJ","""[{'indices': [186, 201], 'text': 'TrumpPedoFiles'}, {'indices': [215, 230], 'text': 'TrumpIsACoward'}]""",reply,1114,2024-08-12
24,republican,"Mission Memorial Hospital’s emergency room shut down for the second time in two week!

Our BC Conservative candidate for Abbotstord Mission Reann Gasper (@ReannGasper) joined me at the hospital to bring attention to this serious issue that the local NDP MLA and Minister Pam https://t.co/6hm0ZQSqtL",[],tweet,266,2024-08-04
25,republican,"As usual, TOLD YALL! 🗣️#BlackChicago IS VOTING FOR MY DONNIE!!! Pass it on! #Trump2024","""[{'indices': [23, 36], 'text': 'BlackChicago'}, {'indices': [76, 86], 'text': 'Trump2024'}]""",quote,101,2024-08-21
26,republican,"The reason I call Donald Trump a convicted felon is because he was convicted of multiple felonies

Hope that helps",[],tweet,8406,2024-08-20
27,republican,"Should not be controversial. 
Should not be coded as conservative or Christian. 

It's just reality based.",[],quote,674,2024-08-15
28,republican,@elonmusk @realDonaldTrump This https://t.co/eznuE0oPSd,[],reply,238,2024-08-13
29,republican,"Mike Huckabee urges GOP to focus on issues for upcoming election, not get lost in personalities https://t.co/vXODi2x3RG",[],tweet,631,2024-08-07
30,republican,"@RepJeffries YOU are lying to the American people.

Even the media admits that Project 2025 is NOT Donald Trump’s platform.",[],reply,208,2024-08-16
31,republican,"So many people hating on Donald Trump’s conversation last night with Elon 

Someone remind me… how many people tuned into Kamala’s space?",[],tweet,1652,2024-08-13
32,republican,"I'm trying to rationally analyze this moment in conservative history but all my brain can come up with is ""what if the human centipede connected like an ouroboros""",[],quote,743,2024-08-12
33,republican,"Often replicated…
Never duplicated.  #Trump2024 
https://t.co/DJZ0WG47CE","""[{'indices': [37, 47], 'text': 'Trump2024'}]""",tweet,240,2024-08-11
