annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
3,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,9,2026-03-18 15:48:29,20260318_1548,2,The tweet uses 'MAGA hero' which can be seen as partisan name-calling.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,1,There is no social distrust or related factors.,1,There is no social distance or related factors.,1,There is no biased evaluation of politicized facts or related factors.,extreme_dem
7,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-18 15:48:54,20260318_1548,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,extreme_dem
11,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-18 15:49:19,20260318_1548,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_dem
15,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,9,2026-03-18 15:49:48,20260318_1548,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,2,Mentions 'Swiftboating' and 'Trump campaign' with a partisan stance.,extreme_dem
19,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",11,2026-03-18 15:50:19,20260318_1548,1,No partisan name-calling or emotional language present.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Emotion or exaggeration present in 'out vote the cheat'.,1,No language increasing social distance or related factors.,2,Emotion or exaggeration present in 'out vote the cheat'.,extreme_dem
23,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",14,2026-03-18 15:59:27,20260318_1559,2,Emotion or exaggeration with 'threat to our Republic'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,2,Support for Trump2024 suggests support for undemocratic candidates.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Language increases distrust with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,extreme_dem
27,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",18,2026-03-18 15:59:58,20260318_1559,3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,Partisan name-calling with '#MAGAMoron' but no explicit support for undemocratic practices.,2,Partisan name-calling with '#MAGAMoron' but no explicit support for violence.,1,No support for undemocratic candidates is shown.,3,Name-calling and emotional language indicate opposition to bipartisanship.,3,Name-calling and emotional language indicate social distrust.,2,Name-calling increases social distance but lacks events that damage communities.,2,Emotion and exaggeration with '#VoteBlueAsifYourLivesDependonit' but no specific politicized facts.,extreme_dem
31,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",12,2026-03-18 16:00:39,20260318_1559,2,The tweet includes emotion or exaggeration with 'mentally ill'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,The tweet includes emotion or exaggeration with 'mentally ill'.,2,The tweet includes emotion or exaggeration with 'mentally ill'.,2,The tweet includes terms that increase distrust with 'mentally ill'.,1,There is no biased evaluation of politicized facts or related factors.,extreme_dem
35,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-18 16:01:27,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,"Mentions protests at Trump/RNC events, suggesting a partisan stance.",extreme_dem
39,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",13,2026-03-18 16:02:13,20260318_1559,2,The tweet includes partisan name-calling with 'gop' and uses sarcasm and emotion in 'lol'.,1,The tweet does not show support for undemocratic practices or include name-calling or exaggeration related to undemocratic practices.,1,There is no support for partisan violence or related name-calling or exaggeration.,1,The tweet does not show support for undemocratic candidates or include related name-calling or exaggeration.,2,"The tweet uses sarcasm and emotion, which can reduce trust in bipartisanship.",2,"The tweet uses sarcasm and emotion, which can reduce social trust.",2,"The tweet includes terms that increase distrust and distance, such as the sarcastic tone and reference to racial issues.",2,The tweet presents a controversial issue with a partisan stance and uses sarcasm.,extreme_dem
