Annotation_Id,row_id,post_type,text,V1,V2,V3,V4,V5,V6,V7,V8,total_score,reason,date,annotation_session,
1,1,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,1,1,2,1,1,1,2,11,"Mocking tone. Includes emotion/exaggeration across categories involving partisan toneMatt Gatez is a far right politician aligned with trump and has allegations of sexual activity a minor. No support for violence, undemocratic practices, generalized distrust, or social distancing.",19/02/2026,1,
2,2,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,1,1,1,1,1,1,1,8,"Context unclear, but from the reply seems friendly.",19/02/2026,1,
3,3,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,1,1,2,1,1,1,1,9,"About Tulsi gabbard: She is a right wing poltician linked to being sympathetic with authoritarian regimes.  Tweet isn’t emotional or aggresive, but the candidate in question  is. ",19/02/2026,1,
4,4,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,1,2,1,1,2,1,2,12,"Swift boating refers to smear campaigning. user seems to be accusing Harlan crow of smear campaining Walz, VP candidate",19/02/2026,1,
5,5,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",3,3,1,1,2,3,2,2,17,"Cheat = Harris. Seems to have distrust towards votes for Harris’, the Harris campaign",19/02/2026,1,
6,6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,1,1,1,1,2,1,1,10,Conetxt not totally clear but clear negative emotion to opposing candidate,19/02/2026,1,
7,7,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,1,1,1,2,2,1,2,13,"Clearly very dem, hatred to rep candidate Royce white",19/02/2026,1,
8,8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,1,1,1,2,2,1,1,12,Hatefukl language to whoever they are replying to ,19/02/2026,1,
9,9,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,1,1,1,1,2,1,1,9,"context also slightly unclear, seems some irony and confusion involved. Talking about google researching facts, rather than word of mouth perhaps   ",19/02/2026,1,
10,10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1,2,1,1,1,2,1,2,11,Quote from cnn report detailing poor working and safetey conditions and reliance on foreign labout at app harvest ,19/02/2026,1,
11,11,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,1,1,1,1,1,1,1,1,8,maga merch and crypto coin ad,19/02/2026,1,
12,12,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",1,1,1,1,2,2,1,1,10,quote about the double standards of leaked email publishing during the 2016 and 2024 capaigns,19/02/2026,1,
13,13,tweet,"Trump & MAGA politics crushes by far the Harris & Waltz traitors
 https://t.co/Xo5msZZ1iy",2,1,1,1,2,2,1,1,11,,19/02/2026,1,
14,14,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,2,1,1,1,1,1,1,1,9,Image refernce is of the American continent,19/02/2026,1,
15,15,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",2,1,1,1,1,2,1,1,10,Retaliation to ,19/02/2026,1,
16,16,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years & the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",2,1,1,1,1,2,1,2,11,Mn media - Minnesota news,19/02/2026,1,
17,17,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,2,1,1,1,1,1,1,2,10,,19/02/2026,1,
18,18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,2,1,1,1,1,1,1,2,10,Talking about how a news reporting is reporting inaccurately about the scale of maga supporters,19/02/2026,1,
19,19,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",2,1,1,1,1,3,1,2,12,Evils of GOP could be seen as quite a biased sentiment,19/02/2026,1,
20,20,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,2,1,1,1,2,2,1,2,12,Insulting trump supporters,19/02/2026,1,
21,21,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",1,1,1,1,1,1,1,2,9,,19/02/2026,1,
22,22,reply,@Acyn Is this the point where MAGA heads start exploding!!??,2,1,1,1,1,2,1,1,10,Mocking maga supporter for context unknown,19/02/2026,1,
23,23,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",1,1,1,1,2,1,1,3,11,,19/02/2026,1,
24,24,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,2,1,1,1,2,2,1,2,12,,19/02/2026,1,
25,25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,1,1,1,1,1,1,1,1,8,,19/02/2026,1,
26,26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",2,1,1,1,2,1,1,2,11,,19/02/2026,1,
27,27,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",1,1,1,1,1,1,1,1,8,,19/02/2026,1,
28,28,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,2,1,1,1,1,3,1,1,11,context unclear,19/02/2026,1,
29,29,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,3,1,1,1,3,1,1,1,12,Emotional language referring to Harris and walz,19/02/2026,1,
30,30,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",2,2,1,1,2,2,1,1,12,,19/02/2026,1,
31,31,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco,1,1,1,1,1,1,1,1,8,,19/02/2026,1,
32,32,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people,1,1,1,1,1,1,1,1,8,,19/02/2026,1,
33,33,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!,2,1,1,1,2,2,1,1,11,"context unclear, but clear skepticism and distrust ",19/02/2026,1,
34,34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,3,1,1,1,3,1,1,1,12,,19/02/2026,1,
35,35,quote,If Donald Trump loses this election this Country is finished as we know it.,2,1,1,1,1,2,1,1,10,,19/02/2026,1,
36,36,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned.",2,1,1,1,1,1,1,1,9,,19/02/2026,1,
37,37,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!,3,1,1,1,1,3,2,1,13,Anger towards losing friends to conservative party but also anger about the democratic candidate,19/02/2026,1,
38,38,reply,@MAGA_TheMoon Realy...,1,1,1,1,1,1,1,1,8,Not a super illuminating response,19/02/2026,1,CAN DELETE
39,39,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).,1,1,1,1,1,3,1,2,11,Skepticism and insinuation about funding of maga party,19/02/2026,1,
40,40,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸",2,2,2,1,2,2,2,1,14,Insinuating that if things dont go in they way of his party something may have to be done …,19/02/2026,1,
41,41,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party",1,1,1,1,1,1,1,1,8,Just stating that maga is a movement ,19/02/2026,1,
42,42,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone.",1,3,1,3,1,1,,2,12,"Refers to illegal things that trump has done and yet still shows his support for him as candidate , confusing ",19/02/2026,1,
43,43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,1,1,1,1,1,1,1,1,8,maga support tweet,19/02/2026,1,
44,44,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA,3,1,1,1,3,2,1,2,14,Stating that dem party wants American people to be slaves ,19/02/2026,1,
45,45,reply,"@Orangadan1 @iamharaldur One can both believe in socialism and be resistant to change (conservative). The two are separate considerations. The Nazis were highly conservative, they hated the changes they saw in German society and wanted to wind back the clock.",1,2,1,2,1,2,1,2,12,"unsure of the sentiment of this message, and whether they ahve support for the nazis?",19/02/2026,1,
46,46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5",3,1,1,1,1,2,1,2,12,"Distrust in NIkki, not grounded in fact . Refers to republicans as trumps slaves ",19/02/2026,1,
47,47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.,3,1,1,1,2,1,1,1,11,Retaliating to a conservative user about the misleading content of their tweet using empotional language ,19/02/2026,1,
48,48,tweet,".@megynkelly you spray out your #Trump @GOP cult #propaganda, while The Huckster himself (incl his latest, unhinged @AI generated crowd imagery lies) is fully, publicly, displaying his “mental health” issues & uncontrolled pathologies. He IS running for #USA president! #democracy",3,1,1,1,1,2,1,2,12,Lots of emotional language referring to a candidate on the rep party,19/02/2026,1,
49,49,reply,@RKGold @TheJordanRachel Like all Trump supporters😂😂😂😂 the Donald Trump reform immigration to make it harder to work illegally?,1,1,1,1,1,2,1,2,10,Donaly trump immigation reform questioning ?,19/02/2026,1,
50,50,quote,"the HAMAS wing of Congress must go....
same with the MAGA wing.....",2,2,1,1,1,3,3,2,15,"Referring about a change in candidates, speculating about a Hamas wing ?",19/02/2026,1,
51,51,reply,"@GOP_Democracy @SykesCharlie @daveweigel No, they’re in a cult",3,1,1,1,2,1,1,1,11,Name calling,19/02/2026,1,
52,52,reply,"@thetrueshelby These are actual MAGA posts and billboards.

Mike Fuckabee AKA Mike #Hypocrite https://t.co/X2RnmBgEQF",2,1,1,1,1,1,1,1,9,Animosity aimed at MAGA campaign posters,19/02/2026,1,
53,53,reply,@Lynnebf_2846 @RNC They are liars.,2,1,1,1,1,1,1,1,9,"Context unclear, but accusations of lying ",19/02/2026,1,
54,54,reply,"@N00saGirl Yep! Funny how Kamala's ""platform"" is finally dropping next week—right after the Trump hack news. Coincidence? Maybe she just needed some ""inspiration"" from the GOP. Plagiarism runs deep in the Dems, and Kamala's just keeping the tradition alive.",3,1,1,1,1,2,1,1,11,"Speculation that Kamala is copying rep. campaign, angry tone",19/02/2026,1,
55,55,reply,"@goddeketal I used to have Eric Carmen follow me. He was a great singer, and a great conservative.",1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
56,56,reply,@elonmusk we love Donald Trump to be President of USA. Elon Musk is a special guest of honor.,1,1,1,1,1,1,1,1,8,"Support towards Trump and Musk, no AAPA language",19/02/2026,1,
57,57,reply,"@heatfan_YG71 @RepMTG Probably true because in this case, the “no matter what“ happens to be Donald Trump.",1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
58,58,reply,@highbrow_nobrow @AccountableGOP Deflect & Deny. That should be the new MAGA motto.,2,1,1,1,1,1,1,1,9,Clear animosity to MAGA supporters,19/02/2026,1,
