annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
2,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,8,2026-03-18 15:48:21,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_conserv
6,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-18 15:48:47,20260318_1548,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_conserv
10,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-18 15:49:13,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_conserv
14,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,10,2026-03-18 15:49:40,20260318_1548,2,"The tweet implies negative emotion towards Trump campaign, suggesting exaggeration.",1,The tweet does not show support for undemocratic practices.,1,The tweet does not show support for partisan violence.,1,The tweet does not show support for undemocratic candidates.,1,The tweet does not oppose bipartisanship directly.,1,The tweet does not express social distrust.,1,The tweet does not express social distance.,2,"The tweet presents a politicized fact with a partisan stance, suggesting bias.",subtle_conserv
18,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",11,2026-03-18 15:50:10,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,2,"Mentions 'out vote the cheat' which implies election fraud without evidence, showing emotion or exaggeration.",1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,"Use of 'cheat' implies distrust in the electoral process, showing emotion or exaggeration.",1,No language increasing social distance or related factors.,2,"Implies skepticism of election integrity, showing emotion or exaggeration.",subtle_conserv
22,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",14,2026-03-18 15:59:20,20260318_1559,2,The tweet uses emotion or exaggeration by calling someone a 'threat to our Republic'.,2,The tweet uses emotion or exaggeration by labeling someone a 'threat to our Republic'.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The tweet uses emotion or exaggeration, reducing trust in the opposing candidate.",2,"The tweet uses emotion or exaggeration, reducing trust in the opposing candidate.",2,The tweet uses language that increases distrust by calling someone a 'threat to our Republic'.,2,The tweet uses emotion or exaggeration by labeling someone a 'threat to our Republic'.,subtle_conserv
26,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",17,2026-03-18 15:59:47,20260318_1559,3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,Partisan name-calling with '#MAGAMoron' but no direct support for undemocratic practices.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,3,Name-calling and emotional language indicate opposition to bipartisanship.,3,Name-calling and emotional language indicate social distrust.,2,Name-calling increases social distance but lacks events that damage communities.,2,Partisan stance with emotional language like '#VoteBlueAsifYourLivesDependonit'.,subtle_conserv
30,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",12,2026-03-18 16:00:27,20260318_1559,2,The tweet includes name-calling by suggesting the person is 'mentally ill'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,"The tweet includes name-calling, which reduces trust.",2,"The tweet includes name-calling, which reduces trust.",2,The tweet includes language that increases distrust and distance.,1,There is no biased evaluation of politicized facts or related factors.,subtle_conserv
34,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-18 16:01:13,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No language indicating social distance or related factors.,2,"Mentions a partisan event comparison, suggesting a partisan stance.",subtle_conserv
38,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",14,2026-03-18 16:02:02,20260318_1559,2,The tweet includes partisan name-calling ('gop') and emotion/exaggeration ('lol').,2,The tweet includes partisan name-calling ('gop') and emotion/exaggeration ('lol').,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,The tweet includes partisan name-calling ('gop').,2,The tweet includes emotion/exaggeration ('lol').,2,The tweet includes terms that increase distrust ('taking the jobs from the Mexicans').,2,The tweet presents a controversial issue with a partisan stance ('speech about how we were taking the jobs from the Mexicans').,subtle_conserv
42,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-18 16:02:42,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,subtle_conserv
46,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",11,2026-03-18 16:03:27,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,Criticism of political mainstream media suggests some opposition to bipartisanship.,2,Criticism of media indicates some level of social distrust.,1,No language increasing social distance or related factors.,2,Presents a biased evaluation of media actions favoring one political side.,subtle_conserv
50,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-18 16:04:16,20260318_1559,3,Partisan name-calling ('traitors') and emotion/exaggeration ('crushes by far').,2,Partisan name-calling ('traitors') but no explicit support for undemocratic practices.,2,Partisan name-calling ('traitors') but no explicit support for violence.,1,No support for undemocratic candidates is evident.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') increases distrust.,1,No biased evaluation of politicized facts is evident.,subtle_conserv
54,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-18 16:05:01,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No language increasing social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,subtle_conserv
58,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",12,2026-03-18 16:05:50,20260318_1559,2,Partisan name-calling is present with the term 'maga' being referred to as 'low wit'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,"Partisan name-calling reduces trust, as seen with 'low wit'.",2,"Name-calling reduces trust, as seen with 'low wit'.",2,The term 'low wit' increases social distance by fostering prejudice.,1,There is no biased evaluation of politicized facts or related factors.,subtle_conserv
62,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",13,2026-03-18 16:06:37,20260318_1559,2,"The tweet implies bias by stating 'MN media is Dem-run', which suggests emotion or exaggeration.",2,"The tweet suggests media bias ('MN media is Dem-run'), which implies emotion or exaggeration.",1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The claim of 'Dem-run' media suggests a reduction in trust, indicating emotion or exaggeration.",2,The tweet suggests distrust in media by claiming it is 'Dem-run'.,1,There is no language that increases social distance in the tweet.,2,The tweet presents a partisan stance by claiming media bias ('Dem-run').,subtle_conserv
