row_id,date,post_type,keyword_category,language,like_count,retweet_count,reply_count,quote_count,view_count,text,hashtags,tweet_id,retweeted_tweet,quoted_tweet,url,user,raw_content,in_reply_to_screen_name,dataset_split,sampling_strategy,sampled_at
1,2024-08-13,reply,republican,en,0,0,0,0,0,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,[],1823495221415731968,False,False,https://twitter.com/PaulSadusky/status/1823495221415731438,"""{'id': 44827470, 'id_str': '44827470', 'url': 'https://twitter.com/Arnold Palmers Crank', 'username': 'Arnold Palmers Crank', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 5, 5, 13, 49, tzinfo=datetime.timezone.utc), 'followersCount': 746, 'friendsCount': 588, 'statusesCount': 30492, 'favouritesCount': 2197, 'listedCount': 28, 'mediaCount': 2771, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1846771889026273282/mIcQ3EzQ_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,varadmehta,,topic_diversified,2026-02-17 12:12:19.135327
2,2024-08-18,reply,republican,en,3,0,1,0,0,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,[],1825058271830343936,False,False,https://twitter.com/TantTankar/status/1825058271830343859,"""{'id': 1666290048189321216, 'id_str': '1666290048189321216', 'url': 'https://twitter.com/This is your wake up call \u2764\ufe0f\ud83c\uddee\ud83c\uddf1\ud83e\udd0c', 'username': 'This is your wake up call \u2764\ufe0f\ud83c\uddee\ud83c\uddf1\ud83e\udd0c', 'rawDescription': 'Swedenistan, US and Spain are home. \ud83c\udf3a\ud83d\udc15\ud83c\udf3f Love dogs and cats. For humanity , right-wing of course \ud83d\udc4f I \u2764\ufe0f Freedom \ud83d\ude4f Please follow \ud83d\udc4b', 'created': datetime.datetime(2023, 6, 7, 3, 45, 3, tzinfo=datetime.timezone.utc), 'followersCount': 963, 'friendsCount': 1216, 'statusesCount': 32684, 'favouritesCount': 57992, 'listedCount': 5, 'mediaCount': 470, 'location': 'Limhamn/Madrid/Florida', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1735049769075027970/fqYN62ie_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,evan_kapitansky,,topic_diversified,2026-02-17 12:12:19.135327
3,2024-08-09,tweet,republican,en,0,0,0,0,0,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD","""[{'indices': [199, 204], 'text': 'MAGA'}]""",1822048962548773120,False,False,https://twitter.com/ChristDakine/status/1822048962548773259,"""{'id': 1781689857510699008, 'id_str': '1781689857510699008', 'url': 'https://twitter.com/Genesis 2.0', 'username': 'Genesis 2.0', 'rawDescription': 'JUST KICKIN ON THE COOLEST PLATFORM KNOWN TO MAN! FOREVER AND EVER! AMEN!', 'created': datetime.datetime(2024, 4, 20, 14, 23, 3, tzinfo=datetime.timezone.utc), 'followersCount': 321, 'friendsCount': 491, 'statusesCount': 3527, 'favouritesCount': 167, 'listedCount': 0, 'mediaCount': 2332, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1845942627243380736/RNwt6YXR_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",,,topic_diversified,2026-02-17 12:12:19.135327
4,2024-08-09,tweet,republican,en,2,0,0,0,0,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,[],1821703126321099008,False,False,https://twitter.com/hateGOP/status/1821703126321099086,"""{'id': 176619668, 'id_str': '176619668', 'url': 'https://twitter.com/Resist hateful GOP policies', 'username': 'Resist hateful GOP policies', 'rawDescription': 'I love everyone, but  Resist the GOP politicians and politics. #TheResistance #ProudBlue  #WeAreBlue1 #ImpeachTrump #TrumpRussia #FBR', 'created': datetime.datetime(2010, 8, 10, 0, 43, 41, tzinfo=datetime.timezone.utc), 'followersCount': 25634, 'friendsCount': 23366, 'statusesCount': 402321, 'favouritesCount': 1569, 'listedCount': 181, 'mediaCount': 11139, 'location': 'Philadelphia, Pa.', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/500028991571390465/4mLsCOhk_normal.jpeg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,,,topic_diversified,2026-02-17 12:12:19.135327
5,2024-08-17,reply,republican,en,0,0,0,0,0,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming","""[{'indices': [198, 202], 'text': 'RNC'}]""",1824876638183854336,False,False,https://twitter.com/JeffNukesLibs/status/1824876638183854267,"""{'id': 1567591559180197888, 'id_str': '1567591559180197888', 'url': 'https://twitter.com/Jeff Can\u2019t Fix Stupid \ud83c\uddfa\ud83c\uddf8', 'username': 'Jeff Can\u2019t Fix Stupid \ud83c\uddfa\ud83c\uddf8', 'rawDescription': 'Conservative \ud83d\udd95Liberals', 'created': datetime.datetime(2022, 9, 7, 19, 12, 19, tzinfo=datetime.timezone.utc), 'followersCount': 894, 'friendsCount': 131, 'statusesCount': 10517, 'favouritesCount': 1736, 'listedCount': 0, 'mediaCount': 121, 'location': 'Atlanta, GA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1570815073890836482/YwkbGNZB_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",mirandadevine,,topic_diversified,2026-02-17 12:12:19.135327
6,2024-08-14,quote,republican,en,0,0,0,0,0,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024","""[{'indices': [60, 70], 'text': 'Trump2024'}]""",1823800536627585280,False,True,https://twitter.com/ProudAm73964002/status/1823800536627585264,"""{'id': 1083502194538803201, 'id_str': '1083502194538803201', 'url': 'https://twitter.com/ProudAmerican', 'username': 'ProudAmerican', 'rawDescription': '', 'created': datetime.datetime(2019, 1, 10, 23, 13, 48, tzinfo=datetime.timezone.utc), 'followersCount': 192, 'friendsCount': 307, 'statusesCount': 11855, 'favouritesCount': 15933, 'listedCount': 0, 'mediaCount': 333, 'location': '', 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",,,topic_diversified,2026-02-17 12:12:19.135327
7,2024-08-14,quote,republican,en,0,0,0,0,0,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator","""[{'indices': [0, 10], 'text': 'MAGAMoron'}, {'indices': [15, 26], 'text': 'antisemite'}, {'indices': [43, 54], 'text': 'RoyceWhite'}, {'indices': [74, 84], 'text': 'Minnesota'}, {'indices': [88, 108], 'text': 'VoteBlueDownBallott'}, {'indices': [110, 142], 'text': 'VoteBlueAsifYourLivesDependonit'}, {'indices': [144, 176], 'text': 'VoteBlueToStopACriminalDictator'}]""",1823573995310158080,False,True,https://twitter.com/JoshuaVSaguaro/status/1823573995310157968,"""{'id': 1725248959084650496, 'id_str': '1725248959084650496', 'url': 'https://twitter.com/Joshua V', 'username': 'Joshua V', 'rawDescription': '', 'created': datetime.datetime(2023, 11, 16, 20, 27, 12, tzinfo=datetime.timezone.utc), 'followersCount': 446, 'friendsCount': 441, 'statusesCount': 9736, 'favouritesCount': 27669, 'listedCount': 0, 'mediaCount': 654, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1725249180216819712/poGHr-XS_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",,,topic_diversified,2026-02-17 12:12:19.135327
8,2024-08-19,reply,republican,en,0,0,0,0,0,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",[],1825592608548065280,False,False,https://twitter.com/EdBalls2112/status/1825592608548065547,"""{'id': 1663584087783755776, 'id_str': '1663584087783755776', 'url': 'https://twitter.com/Jerry Cann Buggers NYC', 'username': 'Jerry Cann Buggers NYC', 'rawDescription': 'A constitutional fuel can for Freedom. Fuck NYC up its Asshole.', 'created': datetime.datetime(2023, 5, 30, 16, 32, 37, tzinfo=datetime.timezone.utc), 'followersCount': 320, 'friendsCount': 251, 'statusesCount': 15359, 'favouritesCount': 2838, 'listedCount': 4, 'mediaCount': 2521, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1831719523281416192/41eQ9W3d_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",Used_To_Be_GOP,,topic_diversified,2026-02-17 12:12:19.135327
9,2024-08-20,quote,republican,en,1,0,0,1,0,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,[],1825832353115132416,False,True,https://twitter.com/LON_knows/status/1825832353115132313,"""{'id': 227166712, 'id_str': '227166712', 'url': \""https://twitter.com/NO DJ's WHILE EATING\"", 'username': \""NO DJ's WHILE EATING\"", 'rawDescription': '30 Year Old Detroit Man Who Knows A Lot About A Little', 'created': datetime.datetime(2010, 12, 16, 3, 7, 44, tzinfo=datetime.timezone.utc), 'followersCount': 889, 'friendsCount': 648, 'statusesCount': 89575, 'favouritesCount': 7119, 'listedCount': 6, 'mediaCount': 2309, 'location': 'Decatur, GA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1745513336068808704/VT3Xcy1L_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,,,topic_diversified,2026-02-17 12:12:19.135327
10,2024-08-13,tweet,republican,en,3,0,0,0,0,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",[],1823362551603679488,False,False,https://twitter.com/joey_blau/status/1823362551603679612,"""{'id': 1029594979, 'id_str': '1029594979', 'url': \""https://twitter.com/What Time is it: It's a bright dawn of a new era!\"", 'username': \""What Time is it: It's a bright dawn of a new era!\"", 'rawDescription': 'living the best life. Retd on a lake for years: sailing, bass fishing and ribs! studying gauge theories of the Standard Model and fractal gravity vs dark matter', 'created': datetime.datetime(2012, 12, 23, 1, 8, tzinfo=datetime.timezone.utc), 'followersCount': 571, 'friendsCount': 1189, 'statusesCount': 56373, 'favouritesCount': 36403, 'listedCount': 14, 'mediaCount': 1708, 'location': 'NE PA! best place on Earth! ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1811409502454861824/6E_zOFzB_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",,,topic_diversified,2026-02-17 12:12:19.135327
