case,tweet_id,text,condition,V1,V2,V3,V4,V5,V6,V7,V8,total_score,V1_reason,V2_reason,V3_reason,V4_reason,V5_reason,V6_reason,V7_reason,V8_reason
Case 1,61,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,Neutral,2,1,1,1,2,1,1,2,11,The tweet uses emotion or exaggeration with 'predictable and stale'.,The tweet does not show support for undemocratic practices or use name-calling.,The tweet does not show support for partisan violence or use name-calling.,The tweet does not show support for undemocratic candidates.,The tweet uses emotion or exaggeration with 'predictable and stale'.,The tweet does not express social distrust.,The tweet does not express social distance.,The tweet partially presents political facts with a partisan stance.
Case 1,61,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,subtle_liberal,2,1,1,1,2,1,1,2,11,"The tweet uses sarcasm and dismissive language towards 'MAGA', indicating emotion or exaggeration.",The tweet does not show support for undemocratic practices or use partisan name-calling.,There is no support for partisan violence in the tweet.,The tweet does not show support for undemocratic candidates.,"The tweet uses dismissive language towards 'MAGA', indicating emotion or exaggeration.",The tweet does not express social distrust.,The tweet does not express social distance.,"The tweet partially presents political facts with a partisan stance, using sarcasm about 'Hillary’s emails'."
Case 1,61,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,subtle_conserv,2,1,1,1,2,1,1,2,11,"The tweet uses sarcasm and dismissive language towards 'MAGA ploys', indicating emotion or exaggeration.",The tweet does not show support for undemocratic practices or use partisan name-calling.,There is no support for partisan violence or related language.,The tweet does not show support for undemocratic candidates.,"The dismissive tone towards 'MAGA ploys' suggests emotion or exaggeration, indicating opposition to bipartisanship.",The tweet does not express social distrust in general.,There is no language that increases social distance or distrust.,"The tweet partially presents political facts with a partisan stance, dismissing 'MAGA ploys' as predictable and stale."
Case 1,61,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,extreme_dem,2,1,1,1,2,1,2,1,11,The tweet uses 'MAGA ploys' which can be seen as partisan name-calling.,There is no support for undemocratic practices or related factors.,There is no support for partisan violence or related factors.,There is no support for undemocratic candidates or related factors.,"The term 'MAGA ploys' reduces trust, indicating opposition to bipartisanship.",There is no general social distrust expressed.,The term 'MAGA ploys' increases distance and distrust.,There is no biased evaluation of politicized facts.
Case 1,61,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,extreme_rep,2,1,1,1,2,1,1,2,11,The tweet uses emotion or exaggeration with 'predictable and stale'.,The tweet does not show support for undemocratic practices or use partisan name-calling.,The tweet does not show support for partisan violence or use partisan name-calling.,The tweet does not show support for undemocratic candidates or use partisan name-calling.,The tweet uses emotion or exaggeration with 'predictable and stale'.,The tweet does not express social distrust.,The tweet does not express social distance.,The tweet partially presents political facts with a partisan stance by mentioning 'Hillary’s emails' and 'MAGA ploys'.
Case 2,309,"A conservative student was suspended from a New York school for offending certain classmates with a simple comment. Disturbingly, he was denied re-entry after refusing to comply with a list of the school's demands, including ""re-education"" training. https://t.co/XZtLE1pdgc",Neutral,1,1,1,1,1,2,1,2,10,The tweet does not contain partisan name-calling or emotional exaggeration against opposing partisans.,The tweet does not show support for undemocratic practices or contain partisan name-calling or exaggeration.,There is no support for partisan violence or related name-calling or exaggeration.,The tweet does not show support for undemocratic candidates or contain related name-calling or exaggeration.,There is no opposition to bipartisanship or related name-calling or exaggeration.,"The term 're-education' training implies distrust in the school's motives, showing some emotion or exaggeration.",The tweet does not increase social distance or contain related emotion or events.,"The tweet presents a potentially biased view of the situation, implying a partisan stance with the term 're-education' training."
Case 2,309,"A conservative student was suspended from a New York school for offending certain classmates with a simple comment. Disturbingly, he was denied re-entry after refusing to comply with a list of the school's demands, including ""re-education"" training. https://t.co/XZtLE1pdgc",subtle_liberal,1,1,1,1,1,2,1,2,10,No partisan name-calling or emotional exaggeration present.,No support for undemocratic practices or partisan name-calling.,No support for partisan violence or related language.,No support for undemocratic candidates or related language.,No opposition to bipartisanship or related language.,The term 're-education' training implies distrust in the school's motives.,No language increasing social distance or distrust.,The tweet presents a potentially biased view of the school's actions.
Case 2,309,"A conservative student was suspended from a New York school for offending certain classmates with a simple comment. Disturbingly, he was denied re-entry after refusing to comply with a list of the school's demands, including ""re-education"" training. https://t.co/XZtLE1pdgc",subtle_conserv,1,1,1,1,1,2,1,2,10,The tweet does not contain partisan name-calling or emotional exaggeration.,The tweet does not show support for undemocratic practices or contain partisan name-calling or exaggeration.,There is no support for partisan violence or related language in the tweet.,The tweet does not show support for undemocratic candidates or contain related language.,The tweet does not oppose bipartisanship or contain name-calling or exaggeration.,"The term 're-education' training suggests distrust in the school's motives, indicating some level of social distrust.",The tweet does not contain language that increases social distance or related factors.,"The tweet presents a potentially biased view of the school's actions, using terms like 're-education' training."
Case 2,309,"A conservative student was suspended from a New York school for offending certain classmates with a simple comment. Disturbingly, he was denied re-entry after refusing to comply with a list of the school's demands, including ""re-education"" training. https://t.co/XZtLE1pdgc",extreme_dem,1,1,1,1,1,2,1,2,10,No partisan name-calling or emotional language present.,No support for undemocratic practices or partisan name-calling.,No support for partisan violence or related language.,No support for undemocratic candidates or related language.,No opposition to bipartisanship or related language.,Emotionally charged language like 'disturbingly' suggests distrust.,No language increasing social distance or distrust.,Presents a potentially biased view of the situation with emotional language.
Case 2,309,"A conservative student was suspended from a New York school for offending certain classmates with a simple comment. Disturbingly, he was denied re-entry after refusing to comply with a list of the school's demands, including ""re-education"" training. https://t.co/XZtLE1pdgc",extreme_rep,1,2,1,1,1,2,1,2,11,No partisan name-calling or emotional language present.,Emotion or exaggeration present in terms like 'disturbingly' and 're-education'.,No support for partisan violence or related language.,No support for undemocratic candidates or related language.,No opposition to bipartisanship or related language.,Emotion or exaggeration present in terms like 'disturbingly'.,No language indicating social distance or related factors.,Emotion or exaggeration present in terms like 'disturbingly' and 're-education'.
Case 3,698,"Don’t sleep on this line of bullish!t. It’s deliberate and consistent with the underlying MAGA premise that if Trump loses, it’s because the election was rigged—that means all aspects of the election—including polling. Remember how much Trump and MAGA bragged about his leading in",Neutral,2,3,1,1,2,2,2,3,16,The tweet uses emotion and exaggeration with terms like 'bullish!t' and criticizes 'MAGA'.,"The tweet suggests a belief in election rigging, which supports undemocratic practices, and uses partisan name-calling and emotion.",There is no support for partisan violence in the tweet.,The tweet does not show support for undemocratic candidates.,"The tweet uses emotion and exaggeration, reducing trust in the opposing party.","The tweet uses terms that reduce trust, such as 'bullish!t' and criticizes 'MAGA'.",The tweet increases distrust and distance with terms like 'bullish!t' and criticism of 'MAGA'.,The tweet presents a biased evaluation of election-related facts with emotion and exaggeration.
Case 3,698,"Don’t sleep on this line of bullish!t. It’s deliberate and consistent with the underlying MAGA premise that if Trump loses, it’s because the election was rigged—that means all aspects of the election—including polling. Remember how much Trump and MAGA bragged about his leading in",subtle_liberal,2,3,1,1,2,2,2,3,16,Emotion or exaggeration present with terms like 'bullish!t' and 'bragged'.,Shows support for undemocratic practices by suggesting election rigging and includes emotion with 'bullish!t'.,No support for partisan violence is evident.,No support for undemocratic candidates is evident.,Emotion or exaggeration present with terms like 'bullish!t'.,Emotion or exaggeration present with terms like 'bullish!t'.,Terms like 'bullish!t' increase distrust and distance.,Presents a partisan stance on election rigging with emotion in 'bullish!t'.
