Annotation_Id,row_id,post_type,text,V1,V2,V3,V4,V5,V6,V7,V8,total_score,reason,date,annotation_session,Unnamed: 16
277,277,reply,"@ThePatriot420 @MarindaVannoy1 @POTUS When drug costs drop precipitously, it doesn't cost people/insurers more. It costs them LESS. Biden intends to continue to work to see those costs plummet and so does Harris. And if you ever end up with cancer and have huge bills, you will understand the need for this.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Backlash at trump supporters due to his ant healthcare policy, not mocking tone ",19/02/2026,1,
489,489,tweet,"trump just said the real threat is ""nuclear warming,"" right before accusing President Biden of saying stupid things. 🙄

WTF is nuclear warming?",3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,13.0,,20/02/2026,1,
428,428,reply,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,Emotional insulting language aimed at rep candidate trump,20/02/2026,1,
298,298,reply,@guypbenson Kamala Harris will be Biden 2.0 and Obama 3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Comment in support of Kamala, no anti partisan language used",19/02/2026,1,
61,61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Clear animosity to MAGA,19/02/2026,1,
10,10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,Quote from cnn report detailing poor working and safetey conditions and reliance on foreign labout at app harvest ,19/02/2026,1,
218,218,reply,@NHAunleashed Not this time… we are barely making it through Biden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Context unclear, doesn’t like Biden admin but no clear hatred or animosity  ",19/02/2026,1,
254,254,reply,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,"Dislike for biden, calling him creepy",19/02/2026,1,
264,264,tweet,Biden lied !,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,accusing biden of lying - context unkown ,19/02/2026,1,
34,34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,12.0,,19/02/2026,1,
6,6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,Conetxt not totally clear but clear negative emotion to opposing candidate,19/02/2026,1,
216,216,reply,"@farzyness I haven’t seen this in any of their documentation. I recall Biden floating the idea awhile back, but I am not seeing it now. It’s a terrible idea, probably unconstitutional, and likely won’t come back to life.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Contect is unclear, therefore can’t really say what is a terrible idea / unconstitutional but seems more opinio than emotional hatred",19/02/2026,1,
46,46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5",3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,"Distrust in NIkki, not grounded in fact . Refers to republicans as trumps slaves ",19/02/2026,1,
273,273,quote,"Wait...you mean biden the child toucher?
They both pedos, folks",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,claiming both presidents have sexual miscondunt allegations - truthfulness of statement is not confirmed,19/02/2026,1,
430,430,reply,@11202011t Lost on the White House grounds again.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,context unclear,20/02/2026,1,
47,47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,Retaliating to a conservative user about the misleading content of their tweet using empotional language ,19/02/2026,1,
224,224,reply,"@Roberts_Rules 😂😂😂The folks Trump calls “animals” tooting his horn They got those COVID checks, avoided eviction and getting school loans reduced/ removed but yeah the guy who left a $3 trillion debt that Biden/Harris worked to clear up … and then COVID! It’s the ignorance that sink us all",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,Comment/questioning on trump supporter logic in their reasons for voting ,19/02/2026,1,
98,98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,14.0,"No undemocratic or violent language, however. Some name-calling that implies opposition to bipartisanship and dstrust in candidates. Term ‘the worst similarities’ signifies  distrusts and hatred. Not claiming any political facts, more of a comment. ",19/02/2026,1,
258,258,reply,@RonDeSantis Basically as ethical as Joe Biden,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Dragging Biden, context unclear",19/02/2026,1,
