tweet_id,post_type,text
277,reply,"@ThePatriot420 @MarindaVannoy1 @POTUS When drug costs drop precipitously, it doesn't cost people/insurers more. It costs them LESS. Biden intends to continue to work to see those costs plummet and so does Harris. And if you ever end up with cancer and have huge bills, you will understand the need for this."
489,tweet,"trump just said the real threat is ""nuclear warming,"" right before accusing President Biden of saying stupid things. 🙄

WTF is nuclear warming?"
428,reply,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit"
298,reply,@guypbenson Kamala Harris will be Biden 2.0 and Obama 3.0
61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.
10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”"
218,reply,@NHAunleashed Not this time… we are barely making it through Biden
254,reply,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure."
264,tweet,Biden lied !
34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.
6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024"
216,reply,"@farzyness I haven’t seen this in any of their documentation. I recall Biden floating the idea awhile back, but I am not seeing it now. It’s a terrible idea, probably unconstitutional, and likely won’t come back to life."
46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5"
273,quote,"Wait...you mean biden the child toucher?
They both pedos, folks"
430,reply,@11202011t Lost on the White House grounds again.
47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.
