annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
1,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,9,2026-03-18 15:48:14,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related factors present.,1,No support for partisan violence or related factors present.,2,Shows support for an undemocratic candidate by calling Matt Gaetz a 'MAGA hero'.,1,No opposition to bipartisanship or related factors present.,1,No social distrust or related factors present.,1,No social distance or related factors present.,1,No biased evaluation of politicized facts or related factors present.,subtle_liberal
5,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-18 15:48:41,20260318_1548,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_liberal
9,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-18 15:49:07,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_liberal
13,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,9,2026-03-18 15:49:33,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,Mentions 'Swiftboating' and 'Trump campaign' in a potentially biased context.,subtle_liberal
17,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",11,2026-03-18 15:50:02,20260318_1548,1,No partisan name-calling or emotional exaggeration present.,2,"Mentions 'out vote the cheat' suggesting skepticism towards election integrity, which is an emotional exaggeration.",1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,The phrase 'out vote the cheat' suggests some level of social distrust.,1,No language indicating social distance or related factors.,2,"The tweet implies skepticism of election processes, which is a politicized fact.",subtle_liberal
21,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",13,2026-03-18 15:59:13,20260318_1559,2,Emotion or exaggeration is present with 'threat to our Republic'.,2,Emotion or exaggeration is present with 'threat to our Republic'.,1,No support for partisan violence is present.,1,No support for undemocratic candidates is present.,2,Emotion or exaggeration is present with 'threat to our Republic'.,2,Emotion or exaggeration is present with 'threat to our Republic'.,2,Emotion or exaggeration is present with 'threat to our Republic'.,1,No biased evaluation of politicized facts is present.,subtle_liberal
25,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",16,2026-03-18 15:59:40,20260318_1559,3,Partisan name-calling with '#MAGAMoron' and emotional language with '#VoteBlueAsifYourLivesDependonit'.,2,Partisan name-calling with '#MAGAMoron' but no direct support for undemocratic practices.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,3,Partisan name-calling and emotional language indicate opposition to bipartisanship.,2,Partisan name-calling reduces trust.,2,Partisan name-calling increases social distance.,2,Emotional language with '#VoteBlueAsifYourLivesDependonit' suggests bias.,subtle_liberal
29,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",12,2026-03-18 16:00:18,20260318_1559,2,The tweet includes partisan name-calling by implying mental illness.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,"The tweet includes name-calling, which reduces trust.",2,"The tweet includes name-calling, which reduces trust.",2,The tweet includes terms that increase distrust and distance.,1,There is no biased evaluation of politicized facts or related factors.,subtle_liberal
33,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-18 16:01:01,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,Mentions a partisan stance by comparing protest sizes at Trump/RNC vs Kamala/DNC events.,subtle_liberal
37,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",14,2026-03-18 16:01:49,20260318_1559,2,The tweet includes partisan name-calling with 'lol gop' and emotional language.,2,The tweet does not show support for undemocratic practices but includes partisan name-calling.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,"The tweet includes partisan name-calling, which reduces trust.",2,The tweet includes emotional language that could reduce trust.,2,The tweet includes language that could increase distrust or prejudice.,2,The tweet presents a controversial issue with a partisan stance and emotional language.,subtle_liberal
