llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,4,gpt-4o-mini,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"The term 'MAGA hero' implies a positive view of a partisan figure, suggesting a level of animosity towards opposing partisans.",1,There is no indication of support for undemocratic practices in the tweet.,1,There is no support for partisan violence expressed in the tweet.,1,There is no indication of support for undemocratic candidates in the tweet.,2,"The use of 'LOL' and the context suggests a dismissive attitude towards opposing views, indicating some resistance to bipartisanship.",1,There is no general distrust of people expressed in the tweet.,1,There are no terms that increase distrust or social distance in the tweet.,1,There is no biased evaluation of politicized facts present in the tweet.,10,2026-03-04 15:36:58,20260304_1536
2,2,4,gpt-4o-mini,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotional exaggeration is present.,1,No support for undemocratic practices is indicated.,1,No support for partisan violence is expressed.,1,No support for undemocratic candidates is shown.,1,No opposition to bipartisanship is evident.,1,No social distrust is indicated.,1,No resistance to interpersonal contact with outpartisans is present.,1,No biased evaluation of politicized facts is evident.,8,2026-03-04 15:37:05,20260304_1536
3,3,4,gpt-4o-mini,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,The tweet does not contain any partisan name-calling or emotional exaggeration.,1,There is no indication of support for undemocratic practices in the tweet.,1,The tweet does not express support for partisan violence.,1,There is no indication of support for undemocratic candidates.,1,The tweet does not show any opposition to bipartisanship.,1,There is no language indicating social distrust.,1,The tweet does not express resistance to interpersonal contact with outpartisans.,1,The tweet does not show skepticism of facts favoring the opposing party.,8,2026-03-04 15:37:12,20260304_1536
4,4,4,gpt-4o-mini,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,The term 'Swiftboating' implies a negative connotation towards the opposing party's tactics.,2,"The tweet suggests a willingness to attack opponents, which can be seen as support for undemocratic practices.",1,There is no explicit support for violence against outpartisans in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,The language used suggests a lack of trust in the opposing party's actions.,1,There is no general distrust of people expressed in the tweet.,2,The term 'attack' implies a distance and negative sentiment towards outpartisans.,2,The tweet presents a partisan view of the actions of the Trump campaign.,13,2026-03-04 15:37:21,20260304_1536
5,5,4,gpt-4o-mini,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",2,"The tweet implies a negative view of the opposing side by referring to them as 'the cheat', which is a form of name-calling.",3,"The tweet shows support for undemocratic practices by suggesting that polling stations and ballot drop boxes need to be 'exhaustively monitored', indicating a lack of trust in the electoral process.",1,There is no indication of support for partisan violence in the tweet.,1,The tweet does not express support for undemocratic candidates.,2,The phrase 'out vote the cheat' suggests a resistance to collaboration with the opposing party.,2,The use of 'cheat' indicates a lack of trust in the opposing party.,2,The term 'cheat' increases social distance and distrust towards the opposing partisans.,2,The tweet presents a partisan stance by suggesting that there is widespread cheating in the electoral process.,15,2026-03-04 15:37:29,20260304_1536
6,6,4,gpt-4o-mini,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,"The tweet expresses strong negative sentiment towards a political opponent, indicating animosity.",2,The phrase 'threat to our Republic' suggests support for undemocratic practices by framing the opponent as dangerous.,1,There is no explicit support for violence against the opponent in the tweet.,1,The tweet does not indicate support for undemocratic candidates.,2,The language used implies distrust and a lack of willingness to collaborate with the opponent.,1,There are no terms that indicate general distrust of people.,2,The term 'threat' increases social distance and distrust towards the opponent.,2,The tweet presents a biased evaluation of the opponent by labeling them a 'threat' without evidence.,13,2026-03-04 15:37:40,20260304_1536
7,7,4,gpt-4o-mini,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,The use of '#MAGAMoron' and '#antisemite' indicates name-calling and strong negative emotion towards the opposing party.,2,"The phrase 'Stop a Criminal Dictator' suggests support for undemocratic practices, but lacks explicit mention of actions.",1,There is no indication of support for partisan violence in the tweet.,2,"The tweet shows support for opposing candidates by labeling them negatively, but does not explicitly endorse undemocratic candidates.",3,The use of derogatory terms and strong language indicates a clear resistance to bipartisanship.,2,The use of derogatory terms reduces trust in the opposing party.,3,The language used increases social distance and distrust towards the opposing party.,3,"The tweet presents a biased evaluation of the opposing candidate, framing them negatively with emotional language.",19,2026-03-04 15:37:48,20260304_1536
8,8,4,gpt-4o-mini,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,"The phrase 'you sound mentally ill' is a direct insult, indicating strong dislike for the opposing partisan.",1,There is no indication of support for undemocratic practices in the tweet.,1,There is no support for partisan violence expressed in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,The phrase 'it's a them and not a you problem' suggests a lack of trust and collaboration.,2,The term 'mentally ill' reduces trust in the opposing partisan.,2,The language used creates a sense of distance and distrust towards the other party.,1,There is no biased evaluation of politicized facts present in the tweet.,13,2026-03-04 15:37:56,20260304_1536
9,9,4,gpt-4o-mini,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,The tweet does not contain any partisan name-calling or emotional exaggeration.,1,There is no support for undemocratic practices present in the tweet.,1,The tweet does not show any support for partisan violence.,1,There is no indication of support for undemocratic candidates.,1,The tweet does not express any opposition to bipartisanship.,1,There is no language indicating social distrust.,1,The tweet does not contain terms that increase social distance or distrust.,2,"The tweet presents a partisan stance by implying that one side has larger protest numbers, which could suggest skepticism of the other party's events.",9,2026-03-04 15:38:09,20260304_1536
10,10,4,gpt-4o-mini,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",2,"The tweet uses the term 'gop' in a dismissive manner, indicating some level of partisan animosity.",1,There is no clear support for undemocratic practices in the tweet.,1,The tweet does not express support for partisan violence.,1,There is no indication of support for undemocratic candidates.,2,The phrase 'lol gop' suggests a lack of trust and a dismissive attitude towards the opposing party.,1,There is no general distrust of people expressed in the tweet.,1,The tweet does not indicate resistance to interpersonal contact with outpartisans.,2,"The tweet presents a partisan perspective on a political event, suggesting skepticism of the GOP's narrative.",11,2026-03-04 15:38:17,20260304_1536
11,11,4,gpt-4o-mini,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,1,The tweet does not contain any partisan name-calling or emotional exaggeration.,1,There is no indication of support for undemocratic practices in the tweet.,1,The tweet does not show any support for partisan violence.,1,There is no support for undemocratic candidates expressed in the tweet.,1,The tweet does not exhibit any opposition to bipartisanship.,1,There is no expression of social distrust in the tweet.,1,The tweet does not indicate any resistance to interpersonal contact with outpartisans.,1,The tweet does not present any biased evaluation of politicized facts.,8,2026-03-04 15:38:23,20260304_1536
12,12,4,gpt-4o-mini,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",2,"The tweet implies a negative view of the media's bias towards Trump, suggesting partisanship.",2,"The tweet shows support for the idea that media practices are undemocratic, but lacks direct support for undemocratic actions.",1,There is no indication of support for violence against outpartisans.,1,The tweet does not express support for undemocratic candidates.,2,"The language suggests distrust in the media, which can indicate resistance to bipartisanship.",2,The phrase 'terribly wrong' indicates a level of distrust towards the media.,1,There are no terms that suggest resistance to interpersonal contact with outpartisans.,3,The tweet presents a biased evaluation of media practices favoring one party over another.,14,2026-03-04 15:38:32,20260304_1536
13,13,4,gpt-4o-mini,tweet,"Trump & MAGA politics crushes by far the Harris & Waltz traitors
 https://t.co/Xo5msZZ1iy",3,The tweet uses name-calling ('traitors') and expresses strong emotion against opposing partisans (Harris & Waltz).,2,"The tweet shows support for undemocratic practices by labeling opponents as 'traitors', but does not explicitly advocate for undemocratic actions.",1,There is no indication of support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,3,The use of 'traitors' indicates a strong resistance to bipartisanship and reduces trust in the opposing party.,2,The term 'traitors' reflects a level of distrust towards the opposing partisans.,3,The term 'traitors' increases social distance and reflects a negative view of outpartisans.,2,"The tweet presents a biased evaluation of the opposing party by labeling them negatively, indicating a partisan stance.",17,2026-03-04 15:38:39,20260304_1536
