llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,6,mistralai/Mistral-7B-Instruct-v0.3,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"Partisan name-calling is implied by 'MAGA hero', which may indicate dislike for opposing partisans",1,Does not show support for undemocratic practices,1,Does not show support for partisan violence,2,"Shows support for a potentially undemocratic candidate, Matt Gaetz, but without emotion or exaggeration",1,Does not express opposition to bipartisanship,1,Does not express social distrust,1,Does not express social distance,2,"Partially presents a political fact with a partisan stance, implying skepticism of opposing views",11,2026-03-05 12:20:58,20260305_1220
2,2,6,mistralai/Mistral-7B-Instruct-v0.3,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotion/exaggeration towards opposing partisans,1,"Does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration",1,"Does not show support for partisan violence, partisan name-calling, or emotion/exaggeration",1,"Does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration towards bipartisanship",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration indicating social distrust",1,"Does not satisfy factors of social distance, such as terms that increase distrust or emotion/exaggeration",1,"No partial presentation of political facts or discussion of controversial issues with partisan stance, and no emotion/exaggeration",8,2026-03-05 12:21:02,20260305_1220
3,3,6,mistralai/Mistral-7B-Instruct-v0.3,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotion/exaggeration towards opposing partisans is present in the tweet,1,"The tweet does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration",1,"The tweet does not show support for partisan violence, partisan name-calling, or emotion/exaggeration",2,The tweet shows support for a candidate (implied by #MAGA) but does not contain partisan name-calling or emotion/exaggeration,1,The tweet does not express opposition to bipartisanship or contain name-calling/emotion/exaggeration,1,The tweet does not express social distrust or contain name-calling/emotion/exaggeration,1,The tweet does not express social distance or contain terms that increase distrust/emotion/exaggeration,2,"The tweet partially presents a political fact (support for a candidate) with a partisan stance (#MAGA), but does not contain emotion/exaggeration",10,2026-03-05 12:21:06,20260305_1220
4,4,6,mistralai/Mistral-7B-Instruct-v0.3,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,"Partisan name-calling is present, as 'Swiftboating' implies a negative and controversial campaign tactic",1,"The tweet does not show support for undemocratic practices, but rather criticizes them",1,There is no support for partisan violence in the tweet,1,"The tweet does not express support for undemocratic candidates, but rather criticizes their tactics",1,There is no opposition to bipartisanship or cross-partisan collaboration in the tweet,1,The tweet does not express social distrust or name-calling towards people in general,1,"There is no language that increases distrust, distance, or prejudice towards outpartisans",2,"The tweet partially presents a political fact with a partisan stance, implying a negative legacy of the Trump campaign",10,2026-03-05 12:21:13,20260305_1220
5,5,6,mistralai/Mistral-7B-Instruct-v0.3,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",2,"The tweet implies distrust of the opposing party by using the term 'cheat', indicating partisan animosity through name-calling.",3,"The tweet shows support for undemocratic practices by suggesting exhaustive monitoring and scrutiny of polling stations and mail-in ballots, implying a willingness to forgo democratic principles for partisan gain, and uses emotion by framing the opposition as 'cheat'.",1,There is no explicit support for partisan violence in the tweet.,2,"The tweet implies support for candidates who may engage in undemocratic practices by emphasizing the need to 'out vote the cheat', but does not directly mention undemocratic candidates or use partisan name-calling and emotion together.",2,"The tweet resists cross-partisan collaboration by framing the election as a competition against 'cheat', using a term that reduces trust.",2,"The tweet expresses distrust of people in general by implying that the opposing party is engaged in cheating, using a term that reduces trust.",2,"The tweet increases distrust and distance by using the term 'cheat' to describe the opposing party, but does not explicitly mention events that damage communities or decrease societal trust.",3,"The tweet partially presents political facts with a partisan stance by framing the opposition as 'cheat' and emphasizing the need for monitoring and scrutiny, and uses emotion by implying a threat to democratic processes.",17,2026-03-05 12:21:20,20260305_1220
6,6,6,mistralai/Mistral-7B-Instruct-v0.3,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,Partisan name-calling is implied by 'threat to our Republic' which suggests strong dislike for the opposing candidate,2,"Emotion or exaggeration exists with 'threat to our Republic', but no explicit support for undemocratic practices is mentioned",1,No support for partisan violence is mentioned in the tweet,2,"The hashtag '#Trump2024' implies support for a candidate, but without explicit mention of ignoring undemocratic practices, and there's emotion in 'threat to our Republic'",2,"Emotion or exaggeration exists with 'threat to our Republic', implying resistance to the opposing candidate, but no explicit name-calling or terms reducing trust in bipartisanship",2,"Emotion or exaggeration exists with 'threat to our Republic', suggesting distrust, but no explicit name-calling",2,"Terms increasing distrust exist with 'threat to our Republic', but no emotion or exaggeration beyond this phrase, and no events damaging communities are mentioned",2,"The tweet partially presents a political fact with a partisan stance by calling the candidate a 'threat to our Republic', but without explicit emotion or exaggeration beyond this claim",15,2026-03-05 12:21:27,20260305_1220
7,7,6,mistralai/Mistral-7B-Instruct-v0.3,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,"The tweet contains partisan name-calling ('#MAGAMoron', '#antisemite') and emotion ('#VoteBlueAsifYourLivesDependonit'), indicating both factors A and B exist",2,"The tweet does not explicitly show support for undemocratic practices, but contains emotion and partisan name-calling, satisfying factor B1 or B2",1,"The tweet does not show support for partisan violence, and there is no indication of violent tactics against outpartisans",2,"The tweet implies support for a democratic candidate ('#VoteBlueDownBallott'), but does not explicitly ignore undemocratic practices, and contains partisan name-calling, satisfying factor A but not B1 or B2",3,"The tweet contains name-calling ('#MAGAMoron', '#antisemite') and emotion ('#VoteBlueAsifYourLivesDependonit'), indicating both factors A and B exist, showing resistance to cross-partisan collaboration",3,"The tweet contains name-calling ('#MAGAMoron', '#antisemite') and emotion ('#VoteBlueAsifYourLivesDependonit'), indicating both factors A and B exist, showing distrust of people in general",3,"The tweet contains terms that increase distrust and distance ('#MAGAMoron', '#antisemite'), and emotion ('#VoteBlueAsifYourLivesDependonit'), indicating factors A and B1 exist, showing resistance to interpersonal contact with outpartisans",3,"The tweet partially presents political facts with a partisan stance ('#VoteBlueDownBallott', '#VoteBlueToStopACriminalDictator') and contains emotion ('#VoteBlueAsifYourLivesDependonit'), indicating both factors A and B exist, showing skepticism of facts that favor the opposing party's worldview",20,2026-03-05 12:21:34,20260305_1220
8,8,6,mistralai/Mistral-7B-Instruct-v0.3,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,The tweet contains partisan name-calling ('them') and emotion/exaggeration ('You sound mentally ill'),2,"The tweet does not show support for undemocratic practices, but contains emotion/exaggeration ('You sound mentally ill')",1,The tweet does not show support for partisan violence,1,The tweet does not show support for undemocratic candidates,2,The tweet contains name-calling ('them') that reduces trust,3,The tweet contains name-calling ('You sound mentally ill') and emotion/exaggeration that reduces trust,2,The tweet contains terms that increase distrust ('them'),1,The tweet does not partially present political facts or discuss controversial issues with a partisan stance,15,2026-03-05 12:21:38,20260305_1220
9,9,6,mistralai/Mistral-7B-Instruct-v0.3,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotion/exaggeration towards opposing partisans is present,1,No support for undemocratic practices is mentioned,1,No support for partisan violence is expressed,1,No support for undemocratic candidates is mentioned,1,No opposition to bipartisanship or name-calling is present,1,No language reducing trust in people in general is used,1,"No terms increasing distrust, distance, or prejudice are used",2,"The tweet partially presents a political fact with a partisan stance, comparing protest numbers at Trump/RNC events to Kamala/DNC events",9,2026-03-05 12:21:41,20260305_1220
10,10,6,mistralai/Mistral-7B-Instruct-v0.3,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",2,Partisan name-calling is implied by quoting a negative statement about Mitch McConnell and the GOP,1,Does not show support for undemocratic practices,1,Does not show support for partisan violence,1,Does not show support for undemocratic candidates,1,Does not express opposition to bipartisanship,2,Emotion or exaggeration is implied by the use of 'lol',2,Terms that increase distrust are implied by the quote about sending Hispanic workers home,2,Partially presents a political fact with a partisan stance by quoting a negative statement about Mitch McConnell,12,2026-03-05 12:21:46,20260305_1220
