llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,2,claude-haiku-4-5-20251001,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"Contains partisan name-calling ('MAGA hero') with dismissive emotion ('LOL'), but lacks strong exaggeration or multiple derogatory terms.",1,Does not show support for undemocratic practices; merely expresses partisan sentiment about a political figure.,1,No reference to or support for partisan violence.,1,Does not show support for undemocratic candidates; only makes a partisan statement about a figure.,1,No resistance to bipartisanship expressed; simply a partisan comment without opposing cross-partisan collaboration.,1,"No distrust of people in general; comment is directed at a specific political figure, not society broadly.",1,"No terms increasing distrust, distance, or discrimination against outpartisans as a group.",2,"Presents a partisan stance on Matt Gaetz's status within MAGA movement with dismissive emotion ('LOL'), but lacks substantial discussion of politicized facts.",10,2026-03-04 11:39:57,20260304_1139
2,2,2,claude-haiku-4-5-20251001,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotional exaggeration targeting opposing partisans. The message is positive and friendly.,1,No support for undemocratic practices expressed in the tweet.,1,No support for partisan violence or violent tactics mentioned.,1,No support for undemocratic candidates expressed.,1,No resistance to cross-partisan collaboration. The message expresses agreement and affection across potential partisan lines.,1,No distrust of people in general expressed. The tone is warm and trusting.,1,No resistance to interpersonal contact with outpartisans. The message expresses love and positive sentiment.,1,No biased evaluation of politicized facts or controversial issues discussed with partisan stance.,8,2026-03-04 11:40:01,20260304_1139
3,3,2,claude-haiku-4-5-20251001,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotional attacks on opposing partisans. The tweet expresses support for a candidate without denigrating opponents.,1,No support for undemocratic practices. The tweet simply endorses a candidate based on qualifications.,1,No mention or support for partisan violence. The tweet is a straightforward endorsement.,2,"Shows support for a Trump administration candidate (factor A satisfied), but lacks partisan name-calling or emotional exaggeration (B1 and B2 not satisfied).",1,No resistance to bipartisanship expressed. The tweet focuses on candidate endorsement without opposing cross-partisan collaboration.,1,No distrust of people in general. The tweet expresses confidence in an individual's abilities without broader social distrust.,1,"No terms increasing distrust, distance, or discrimination toward outpartisans. The tweet is a positive endorsement without social distance language.",1,No biased evaluation of politicized facts. The tweet offers personal opinion on candidate qualifications without presenting controversial political facts with partisan bias.,9,2026-03-04 11:40:06,20260304_1139
4,4,2,claude-haiku-4-5-20251001,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,1,No partisan name-calling or emotional exaggeration targeting opposing partisans directly. The tweet makes a factual claim about funding and campaign tactics without inflammatory language.,1,Does not show support for undemocratic practices. The tweet criticizes campaign tactics but does not advocate for undermining democratic institutions or processes.,1,"No mention or support for partisan violence, threatening messages, harassment, or violent tactics.",1,Does not show support for undemocratic candidates. The tweet critiques campaign tactics without endorsing undemocratic practices.,1,No resistance to cross-partisan collaboration expressed. The tweet makes a critical observation rather than opposing bipartisanship.,1,No general distrust of people or name-calling that reduces trust in society broadly. The critique is specific to campaign tactics.,1,"No terms that increase distrust, distance, or discrimination between partisan groups or individuals.",2,"Presents a partisan critique of campaign tactics ('Swiftboating,' attack on Walz) with a critical stance, but lacks clear emotional exaggeration or hyperbole. Satisfies factor A (partisan stance on controversial campaign practice) but not factor B.",9,2026-03-04 11:40:11,20260304_1139
5,5,2,claude-haiku-4-5-20251001,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",1,No partisan name-calling or emotional exaggeration targeting opposing partisans directly. The tweet focuses on election procedures rather than attacking opponents.,3,"Factor A satisfied: Advocates for extensive monitoring and scrutiny of voting procedures, implying election fraud concerns and suggesting need for extraordinary oversight measures. Factor B1 satisfied: Uses phrase 'out vote the cheat' which contains partisan framing. Factor B2 satisfied: 'exhaustively monitored' and 'scrutinized' represent emotional exaggeration about election integrity threats.",1,"No support for partisan violence, threatening messages, harassment, or violent tactics. The tweet discusses election monitoring, not violence.",1,"No support for undemocratic candidates. The tweet discusses election procedures and volunteer mobilization, not candidate support.",1,No resistance to cross-partisan collaboration expressed. The tweet does not address bipartisanship or collaboration.,2,Factor A satisfied: Phrase 'out vote the cheat' implies systemic dishonesty and reduces trust in election systems and opposing partisans. Factor B not clearly present as the language is not exaggerated emotional expression about people in general.,1,"No terms that increase distrust, distance, or discrimination against outpartisans as individuals. The focus is on election procedures, not interpersonal contact or social distance.",3,"Factor A satisfied: Presents election security as a politicized fact with partisan stance, implying fraud without evidence ('the cheat'). Factor B satisfied: Uses emotionally charged language like 'exhaustively monitored' and 'scrutinized' to exaggerate election integrity concerns.",13,2026-03-04 11:40:18,20260304_1139
6,6,2,claude-haiku-4-5-20251001,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,"Contains partisan name-calling/dismissal ('threat to our Republic') directed at opposing candidate, but lacks emotional exaggeration beyond the core accusation.",1,Does not show support for undemocratic practices; merely expresses opposition to a candidate.,1,Does not reference or support partisan violence.,1,Does not show support for undemocratic candidates; simply advocates for Trump in standard electoral terms.,1,Does not explicitly resist cross-partisan collaboration; focuses on candidate preference rather than opposition to bipartisanship.,1,Does not express distrust of people in general; targets a specific political opponent.,1,Does not express resistance to interpersonal contact with outpartisans or terms increasing social distance.,2,"Presents a partisan stance ('threat to our Republic') without supporting evidence, but lacks clear emotional exaggeration beyond the accusation itself.",10,2026-03-04 11:40:22,20260304_1139
7,7,2,claude-haiku-4-5-20251001,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,"Contains partisan name-calling (#MAGAMoron, #antisemite) and emotional exaggeration (#VoteBlueAsifYourLivesDependonit, #VoteBlueToStopACriminalDictator) characterizing opponent as criminal dictator.",1,Does not show support for undemocratic practices; only criticizes opponent and encourages voting.,1,Does not show support for partisan violence; only uses political rhetoric and voting encouragement.,1,Does not show support for undemocratic candidates; criticizes opponent candidate rather than supporting one.,2,"Calls for voting blue down ballot without any mention of bipartisan collaboration, showing resistance to cross-partisan work, though not explicitly opposing bipartisanship itself.",1,Does not express distrust of people in general; focuses on partisan criticism of specific candidate and party.,2,"Uses terms that increase distrust and distance toward outpartisans (#MAGAMoron, #antisemite, #CriminalDictator) but lacks emotional exaggeration beyond the name-calling itself.",2,"Presents controversial characterizations of opponent (antisemite, criminal dictator) with partisan stance and emotional exaggeration, but does not engage with specific politicized facts.",13,2026-03-04 11:40:28,20260304_1139
8,8,2,claude-haiku-4-5-20251001,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,"Contains partisan name-calling ('mentally ill') directed at the opposing partisan, combined with dismissive emotion/exaggeration ('them and not a you problem')",1,Does not show support for undemocratic practices,1,Does not show support for partisan violence,1,Does not show support for undemocratic candidates,2,"Uses name-calling ('mentally ill') that reduces trust in the opposing partisan, though limited emotional exaggeration beyond the insult itself",1,Does not express distrust of people in general; targets a specific individual,2,"The term 'mentally ill' used as an insult increases distrust and distance from the outpartisan, though without additional emotional exaggeration or community-damaging events",1,Does not present or evaluate politicized facts; consists of personal attack rather than partisan stance on factual matters,12,2026-03-04 11:40:32,20260304_1139
9,9,2,claude-haiku-4-5-20251001,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotional exaggeration targeting opposing partisans. The tweet presents a factual observation without derogatory language.,1,"Does not show support for undemocratic practices. The tweet discusses protest attendance numbers, which is a legitimate democratic activity.",1,No mention of or support for partisan violence. The tweet only references peaceful protest activities.,1,Does not show support for undemocratic candidates. The tweet makes a comparative observation about campaign events without endorsing undemocratic practices.,1,No resistance to cross-partisan collaboration expressed. The tweet does not oppose bipartisanship or collaborative efforts.,2,"Contains mild social distrust through the rhetorical question 'why don't ppl research these things?' which implies general skepticism about people's information-seeking behavior, satisfying factor A (terms reducing trust).",1,"No terms that increase distrust, distance, or discrimination against outpartisans. The tweet does not express resistance to interpersonal contact.",2,"Presents a partisan stance on protest attendance numbers with selective framing ('bigger numbers than Kamala/DNC events'), satisfying factor A (partial presentation with partisan stance), though without strong emotional exaggeration.",10,2026-03-04 11:40:38,20260304_1139
10,10,2,claude-haiku-4-5-20251001,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1,No partisan name-calling or emotional exaggeration directed at opposing partisans. The tweet reports an anecdote without inflammatory language toward Republicans or Democrats.,1,Does not show support for undemocratic practices. The tweet describes an alleged discriminatory action but does not advocate for undemocratic practices.,1,"No support for partisan violence. The tweet contains no threats, intimidation, or advocacy for violent tactics.",1,Does not show support for undemocratic candidates. The tweet does not advocate for supporting candidates despite undemocratic practices.,1,No resistance to cross-partisan collaboration expressed. The tweet reports an anecdote without opposing bipartisanship.,1,No general distrust of people expressed. The tweet does not make sweeping claims about untrustworthiness of society broadly.,2,"The anecdote describes discriminatory treatment of Hispanic workers (sending them home before McConnell's visit), which implies prejudice and discrimination. However, no emotional exaggeration or community-damaging events are present in the tweet itself.",2,"The tweet presents a controversial political issue (immigration rhetoric) with a partisan stance critical of GOP, but lacks emotional exaggeration. The 'lol' prefix shows some dismissiveness but minimal emotion.",10,2026-03-04 11:40:43,20260304_1139
