annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
4,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,9,2026-03-18 15:48:35,20260318_1548,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,2,Shows support for an undemocratic candidate by calling Matt Gaetz a 'MAGA hero'.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No language indicating social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_rep
8,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-18 15:49:01,20260318_1548,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No opposition to bipartisanship or name-calling.,1,No social distrust or name-calling.,1,No social distance or terms increasing distrust.,1,No biased evaluation of politicized facts or emotion.,extreme_rep
12,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-18 15:49:27,20260318_1548,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,extreme_rep
16,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,9,2026-03-18 15:49:54,20260318_1548,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,2,Mentions 'Swiftboating' and 'Trump campaign' with a partisan stance.,extreme_rep
20,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",11,2026-03-18 15:50:51,20260318_1548,1,No partisan name-calling or emotional language present.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Emotion or exaggeration present in 'out vote the cheat'.,1,No language indicating social distance or related factors.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,extreme_rep
24,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",12,2026-03-18 15:59:32,20260318_1559,2,Emotion or exaggeration with 'threat to our Republic'.,1,Does not show support for undemocratic practices.,1,Does not show support for partisan violence.,1,Does not show support for undemocratic candidates.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Terms that increase distrust with 'threat to our Republic'.,1,Does not present biased evaluation of politicized facts.,extreme_rep
28,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",18,2026-03-18 16:00:08,20260318_1559,3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,"Partisan name-calling with '#MAGAMoron' and emotional language, but no direct support for undemocratic practices.",1,No support for partisan violence is evident.,2,"Shows opposition to a candidate labeled as '#antisemite', but no emotional language or name-calling related to undemocratic candidates.",3,Name-calling and emotional language reduce trust and oppose bipartisanship.,3,Name-calling and emotional language reduce social trust.,2,"Name-calling increases social distance, but no events that damage communities are mentioned.",2,"Partisan stance with emotional language, but no specific politicized facts are presented.",extreme_rep
32,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",12,2026-03-18 16:00:48,20260318_1559,2,The tweet includes emotion or exaggeration with 'mentally ill'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,The tweet includes emotion or exaggeration with 'mentally ill'.,2,The tweet includes emotion or exaggeration with 'mentally ill'.,2,The tweet includes terms that increase distrust with 'mentally ill'.,1,There is no biased evaluation of politicized facts or related factors.,extreme_rep
36,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-18 16:01:41,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling/emotion.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,"Mentions a partisan stance on protest sizes, suggesting bias.",extreme_rep
40,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",14,2026-03-18 16:02:24,20260318_1559,2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,2,The tweet includes emotion or exaggeration with 'lol gop' but does not show support for undemocratic practices.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,The tweet includes emotion or exaggeration with 'lol gop' which can reduce trust.,2,The tweet includes emotion or exaggeration with 'lol gop' which can reduce trust.,2,The tweet includes terms that increase distrust with 'lol gop' but no events that damage communities.,2,The tweet presents a partisan stance with a negative portrayal of Mitch McConnell's actions.,extreme_rep
