llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"The term 'MAGA hero' implies partisan favoritism, which can be seen as emotion or exaggeration.",1,There is no support for undemocratic practices or related name-calling or exaggeration.,1,There is no support for partisan violence or related name-calling or exaggeration.,1,There is no support for undemocratic candidates or related name-calling or exaggeration.,1,There is no opposition to bipartisanship or related name-calling or exaggeration.,1,There is no social distrust or related name-calling or exaggeration.,1,There is no social distance or related name-calling or exaggeration.,1,There is no biased evaluation of politicized facts or related name-calling or exaggeration.,9,2026-02-26 12:04:16,20260226_1204
2,2,1,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or partisan name-calling.,1,No opposition to bipartisanship or emotional language.,1,No social distrust or emotional language.,1,No social distance or distrust language.,1,No biased evaluation of politicized facts or emotional language.,8,2026-02-26 12:04:24,20260226_1204
3,3,1,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,8,2026-02-26 12:04:30,20260226_1204
4,4,1,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,"The tweet implies negative sentiment towards Trump campaign, suggesting partisan animosity.",1,The tweet does not show support for undemocratic practices.,1,There is no indication of support for partisan violence.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship expressed.,1,The tweet does not express social distrust.,1,There is no indication of social distance.,2,"The tweet presents a politicized fact with a partisan stance, mentioning 'Swiftboating' and 'Trump campaign' negatively.",10,2026-02-26 12:04:38,20260226_1204
5,5,1,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",1,No partisan name-calling or emotional language present.,2,"Mentions exhaustive monitoring and scrutiny of ballots, which could imply undermining trust in the electoral process.",1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,"Language suggests distrust in the electoral process, implying social distrust.",1,No language indicating social distance or related factors.,2,Skepticism of mail-in ballots and monitoring suggests a biased evaluation of politicized facts.,11,2026-02-26 12:04:46,20260226_1204
6,6,1,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,Emotion or exaggeration with 'threat to our Republic'.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,2,Implied support for undemocratic candidate with '#Trump2024'.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Terms that increase distrust with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,14,2026-02-26 12:04:51,20260226_1204
7,7,1,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,Partisan name-calling with '#MAGAMoron' but no direct support for undemocratic practices.,1,No support for partisan violence is evident.,2,"Criticism of a candidate as '#antisemite' suggests opposition to undemocratic candidates, but no exaggeration.",2,Partisan name-calling with '#MAGAMoron' suggests opposition to bipartisanship.,2,Partisan name-calling with '#MAGAMoron' suggests social distrust.,2,Partisan name-calling with '#MAGAMoron' suggests social distance.,2,Partisan stance with '#VoteBlueDownBallott' suggests biased evaluation of politicized facts.,16,2026-02-26 12:04:58,20260226_1204
8,8,1,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",2,The tweet includes name-calling ('mentally ill') which indicates partisan animosity.,1,There is no support for undemocratic practices or related language.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,"The name-calling ('mentally ill') reduces trust, indicating opposition to bipartisanship.",2,"The name-calling ('mentally ill') reduces trust, indicating social distrust.",2,The name-calling ('mentally ill') increases social distance.,1,There is no biased evaluation of politicized facts or related language.,12,2026-02-26 12:05:07,20260226_1204
9,9,1,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,2,Presents a potentially biased evaluation of event sizes at political events.,9,2026-02-26 12:05:14,20260226_1204
10,10,1,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,2,The tweet includes emotion or exaggeration with 'lol gop' but does not show support for undemocratic practices.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,The tweet includes emotion or exaggeration with 'lol gop' but no name-calling.,2,The tweet includes emotion or exaggeration with 'lol gop' but no name-calling.,2,The tweet includes terms that increase distrust with 'lol gop' but no events that damage communities.,2,The tweet presents a controversial issue with a partisan stance and includes emotion with 'lol gop'.,14,2026-02-26 12:05:21,20260226_1204
