llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"The tweet uses 'MAGA hero' with a mocking tone, indicating emotion or exaggeration.",1,There is no support for undemocratic practices or related name-calling/emotion.,1,There is no support for partisan violence or related name-calling/emotion.,1,There is no support for undemocratic candidates or related name-calling/emotion.,1,There is no opposition to bipartisanship or related name-calling/emotion.,1,There is no social distrust or related name-calling/emotion.,1,There is no social distance or related name-calling/emotion.,2,"The tweet uses 'MAGA hero' with a mocking tone, indicating emotion or exaggeration.",10,2026-03-07 12:24:02,20260307_1224
2,2,1,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or partisan name-calling.,1,No opposition to bipartisanship or name-calling.,1,No social distrust or name-calling.,1,No social distance or terms increasing distrust.,1,No biased evaluation of politicized facts or emotion.,8,2026-03-07 12:24:06,20260307_1224
3,3,1,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,8,2026-03-07 12:24:09,20260307_1224
4,4,1,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,"The tweet implies negative sentiment towards Trump campaign, suggesting partisan animosity.",1,The tweet does not show support for undemocratic practices.,1,There is no indication of support for partisan violence.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship expressed.,1,The tweet does not express social distrust.,1,There is no language indicating social distance.,2,"The tweet presents a politicized fact with a partisan stance, suggesting bias.",10,2026-03-07 12:24:13,20260307_1224
5,5,1,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",1,No partisan name-calling or emotional language present.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,Emotion or exaggeration present in 'out vote the cheat'.,2,Emotion or exaggeration present in 'out vote the cheat'.,1,No language increasing social distance or distrust.,2,Emotion or exaggeration present in 'out vote the cheat' and focus on monitoring ballots.,12,2026-03-07 12:24:18,20260307_1224
6,6,1,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,Emotion or exaggeration is present with 'threat to our Republic'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion or exaggeration is present with 'threat to our Republic'.,2,Emotion or exaggeration is present with 'threat to our Republic'.,2,Emotion or exaggeration is present with 'threat to our Republic'.,1,No biased evaluation of politicized facts is evident.,12,2026-03-07 12:24:21,20260307_1224
7,7,1,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,Partisan name-calling with '#MAGAMoron' but no explicit support for undemocratic practices.,1,No support for partisan violence is expressed.,2,"Calls Royce White an '#antisemite', suggesting he is an undemocratic candidate, but lacks emotional exaggeration.",2,"Name-calling with '#MAGAMoron' reduces trust, but no emotional exaggeration.",2,"Name-calling with '#MAGAMoron' reduces trust, but no emotional exaggeration.",2,"Name-calling with '#MAGAMoron' increases social distance, but lacks emotional exaggeration.",2,"Presents a partisan stance with '#VoteBlueDownBallott', but lacks emotional exaggeration.",16,2026-03-07 12:24:26,20260307_1224
8,8,1,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",2,The tweet includes partisan name-calling with 'mentally ill'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,"The tweet includes name-calling, reducing trust.",2,"The tweet includes name-calling, reducing trust.",2,The tweet includes terms that increase distrust and distance.,1,There is no biased evaluation of politicized facts or related factors.,12,2026-03-07 12:24:30,20260307_1224
9,9,1,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,2,Presents a potentially biased evaluation of event attendance without emotional language.,9,2026-03-07 12:24:34,20260307_1224
10,10,1,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,2,The tweet includes emotion or exaggeration with 'lol gop' but does not show support for undemocratic practices.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,The tweet includes emotion or exaggeration with 'lol gop' but no name-calling.,2,The tweet includes emotion or exaggeration with 'lol gop' but no name-calling.,1,There is no language that increases social distance or related factors.,2,"The tweet presents a controversial issue with a partisan stance, using emotion or exaggeration.",13,2026-03-07 12:24:38,20260307_1224
11,11,1,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,8,2026-03-07 12:24:42,20260307_1224
12,12,1,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,2,Criticism of political mainstream media suggests reduced trust.,2,Criticism of political mainstream media suggests reduced trust.,1,No language increasing social distance or distrust.,2,"Presents a partisan stance on media bias, suggesting skepticism of facts.",11,2026-03-07 12:24:47,20260307_1224
