Model,Variable,Krippendorff_alpha,Spearman_rho,p_value,Cohen_kappa
GPT-4o,V1,0.5689,0.5999,0.0,0.4799
GPT-4o,V2,-0.0131,0.0717,0.2256,0.0527
GPT-4o,V3,0.1408,0.1426,0.0156,0.1378
GPT-4o,V4,-0.0196,-0.0201,0.7342,-0.0156
GPT-4o,V5,0.2626,0.3313,0.0,0.2484
GPT-4o,V6,0.3201,0.3476,0.0,0.277
GPT-4o,V7,0.1108,0.2148,0.0002,0.1563
GPT-4o,V8,0.2413,0.284,0.0,0.2002
claude-haiku-4-5,V1,0.5703,0.6237,0.0,0.496
claude-haiku-4-5,V2,0.0461,0.0466,0.4312,0.0696
claude-haiku-4-5,V3,0.0625,0.0961,0.1043,0.0744
claude-haiku-4-5,V4,0.2398,0.2385,0.0,0.2125
claude-haiku-4-5,V5,0.2679,0.271,0.0,0.2319
claude-haiku-4-5,V6,0.1819,0.3104,0.0,0.1821
claude-haiku-4-5,V7,0.2125,0.215,0.0002,0.2063
claude-haiku-4-5,V8,0.1907,0.3511,0.0,0.2154
DeepSeek-V3,V1,0.4965,0.5708,0.0,0.4112
DeepSeek-V3,V2,0.0849,0.0842,0.1548,0.0768
DeepSeek-V3,V3,0.0688,0.1188,0.0443,0.0797
DeepSeek-V3,V4,-0.0124,-0.0141,0.8116,-0.0125
DeepSeek-V3,V5,0.2696,0.3322,0.0,0.2356
DeepSeek-V3,V6,0.212,0.2609,0.0,0.184
DeepSeek-V3,V7,0.1438,0.1633,0.0056,0.1296
DeepSeek-V3,V8,0.0609,0.2643,0.0,0.1474
GPT-4o-mini,V1,0.6185,0.6191,0.0,0.5241
GPT-4o-mini,V2,-0.106,0.0386,0.5147,0.0366
GPT-4o-mini,V3,0.1581,0.1587,0.007,0.1469
GPT-4o-mini,V4,-0.075,-0.0457,0.4406,-0.0231
GPT-4o-mini,V5,0.186,0.3269,0.0,0.2145
GPT-4o-mini,V6,0.2479,0.2496,0.0,0.2164
GPT-4o-mini,V7,0.0407,0.1773,0.0026,0.1326
GPT-4o-mini,V8,0.1848,0.2912,0.0,0.2155
Llama-3.3-70B,V1,0.6333,0.6334,0.0,0.5461
Llama-3.3-70B,V2,-0.0376,0.0834,0.1587,0.0586
Llama-3.3-70B,V3,0.2059,0.2256,0.0001,0.2017
Llama-3.3-70B,V4,-0.0225,0.0975,0.0991,0.0415
Llama-3.3-70B,V5,0.255,0.3011,0.0,0.2321
Llama-3.3-70B,V6,0.2721,0.294,0.0,0.2427
Llama-3.3-70B,V7,0.0743,0.2539,0.0,0.1717
Llama-3.3-70B,V8,-0.0394,0.315,0.0,0.1304
Mistral-7B,V1,0.6345,0.6345,0.0,0.5494
Mistral-7B,V2,-0.0222,0.1225,0.0381,0.0808
Mistral-7B,V3,0.1967,0.2089,0.0004,0.1766
Mistral-7B,V4,-0.0265,0.0946,0.1099,0.039
Mistral-7B,V5,0.258,0.3063,0.0,0.2398
Mistral-7B,V6,0.2907,0.3073,0.0,0.2578
Mistral-7B,V7,0.0822,0.2371,0.0,0.1667
Mistral-7B,V8,-0.0325,0.307,0.0,0.1255
Llama-3.2-3B,V1,0.1727,0.4416,0.0,0.2339
Llama-3.2-3B,V2,-0.2967,0.1266,0.0321,0.0391
Llama-3.2-3B,V3,-0.1469,0.1745,0.003,0.0545
Llama-3.2-3B,V4,-0.2839,-0.0403,0.4966,-0.0016
Llama-3.2-3B,V5,0.0987,0.2344,0.0001,0.1579
Llama-3.2-3B,V6,0.2468,0.3133,0.0,0.2332
Llama-3.2-3B,V7,0.003,0.1708,0.0037,0.1152
Llama-3.2-3B,V8,0.0738,0.2518,0.0,0.1389
