annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
1,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,9,2026-03-16 15:31:45,20260316_1530,2,The tweet uses 'MAGA hero' which implies partisan labeling.,1,There is no support for undemocratic practices or related language.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,1,There is no opposition to bipartisanship or related language.,1,There is no social distrust or related language.,1,There is no social distance or related language.,1,There is no biased evaluation of politicized facts or related language.,A
2,1,gpt-4o-2024-08-06,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,9,2026-03-16 15:31:53,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,2,"Mentions support for a MAGA hero, which may imply tolerance of undemocratic behavior.",1,No rejection of cross-party cooperation.,1,No generalized interpersonal suspicion expressed.,1,No preference for limiting contact with opposing party members.,1,No distortion of factual claims or partisan stance on controversial issues.,B
3,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-16 15:32:02,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,1,No biased evaluation of politicized facts or related language present.,A
4,2,gpt-4o-2024-08-06,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,8,2026-03-16 15:32:10,20260316_1530,1,No negative affect or partisan name-calling present.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or partisan name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
5,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-16 15:32:18,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
6,3,gpt-4o-2024-08-06,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",8,2026-03-16 15:32:27,20260316_1530,1,No negative affect or name-calling towards opposing party.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation or name-calling.,1,No generalized interpersonal suspicion or distrust.,1,No terms that increase distrust or avoidance of outparty.,1,No distortion of factual claims or partisan stance.,B
7,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,10,2026-03-16 15:32:33,20260316_1530,2,"The tweet implies negative sentiment towards Trump campaign, suggesting partisan animosity.",1,The tweet does not show support for undemocratic practices.,1,The tweet does not show support for partisan violence.,1,The tweet does not show support for undemocratic candidates.,1,The tweet does not oppose bipartisanship.,1,The tweet does not express social distrust.,1,The tweet does not express social distance.,2,"The tweet presents a politicized fact with a partisan stance, mentioning 'Swiftboating' and 'Trump campaign' negatively.",A
8,4,gpt-4o-2024-08-06,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,10,2026-03-16 15:32:46,20260316_1530,2,"The tweet implies negative affect towards Trump campaign, suggesting partisan hostility.",1,The tweet does not show support for undemocratic practices or use name-calling.,1,There is no approval of forceful or threatening tactics in the tweet.,1,The tweet does not show support for undemocratic candidates.,1,The tweet does not express unwillingness to engage in cross-party cooperation.,1,The tweet does not express generalized interpersonal suspicion.,1,The tweet does not express outparty avoidance.,2,The tweet presents a partisan stance by linking Trump campaign to 'Swiftboating'.,B
9,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",12,2026-03-16 15:33:01,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,Emotion or exaggeration present in 'out vote the cheat'.,2,Emotion or exaggeration present in 'exhaustively monitored'.,1,No language increasing social distance or distrust.,2,Emotion or exaggeration present in 'out vote the cheat'.,A
10,5,gpt-4o-2024-08-06,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",11,2026-03-16 15:33:12,20260316_1530,1,No partisan name-calling or emotional language present.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,1,No support for partisan violence or aggressive tactics.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation or emotional language.,2,Emotion or exaggeration present in 'out vote the cheat'.,1,No terms that increase distrust or events that damage communities.,2,Emotion or exaggeration present in 'out vote the cheat' and 'exhaustively monitored'.,B
