Model,Variable,Krippendorff_alpha,Spearman_rho,p_value,Cohen_kappa
GPT-4o,V1,0.5758,0.6059,0.0,0.4875
GPT-4o,V2,-0.0181,0.0692,0.239,0.0505
GPT-4o,V3,0.1417,0.1435,0.0143,0.1387
GPT-4o,V4,-0.0193,-0.0198,0.736,-0.0154
GPT-4o,V5,0.2669,0.3378,0.0,0.2495
GPT-4o,V6,0.3197,0.3467,0.0,0.2754
GPT-4o,V7,0.1096,0.2146,0.0002,0.1559
GPT-4o,V8,0.2427,0.287,0.0,0.2002
claude-haiku-4-5,V1,0.5734,0.6272,0.0,0.4994
claude-haiku-4-5,V2,0.0382,0.04,0.4967,0.0616
claude-haiku-4-5,V3,0.063,0.0964,0.1006,0.0746
claude-haiku-4-5,V4,0.2106,0.2107,0.0003,0.1889
claude-haiku-4-5,V5,0.2795,0.2821,0.0,0.2384
claude-haiku-4-5,V6,0.1899,0.3125,0.0,0.1837
claude-haiku-4-5,V7,0.2082,0.2114,0.0003,0.203
claude-haiku-4-5,V8,0.1923,0.3536,0.0,0.2155
Llama-3.2-3B,V1,0.1811,0.4496,0.0,0.238
Llama-3.2-3B,V2,-0.296,0.1268,0.0306,0.039
Llama-3.2-3B,V3,-0.1493,0.1731,0.003,0.0537
Llama-3.2-3B,V4,-0.2844,-0.04,0.4964,-0.0016
Llama-3.2-3B,V5,0.1044,0.2422,0.0,0.1601
Llama-3.2-3B,V6,0.2472,0.3123,0.0,0.232
Llama-3.2-3B,V7,-0.0012,0.1688,0.0039,0.1133
Llama-3.2-3B,V8,0.0801,0.2596,0.0,0.1415
