row_id,date,post_type,language,like_count,retweet_count,reply_count,quote_count,view_count,text,hashtags,tweet_id,retweeted_tweet,quoted_tweet,url,user,raw_content,in_reply_to_screen_name,dataset_split,sampling_strategy,sampled_at
1,2024-10-31,tweet,en,9,5,0,0,0,🎃 “Hocus POTUS! Trump is my BOO! 🧙‍♀️ Let’s make some magic happen this weekend and head to the polls on November 5th! #Trump2024 #TrumpForce47 #VoteRed #MAGA #SpookySeason #FinalCountdown #SwampTheVote https://t.co/nJMFmUQJZc,"""[{'indices': [119, 129], 'text': 'Trump2024'}, {'indices': [130, 143], 'text': 'TrumpForce47'}, {'indices': [144, 152], 'text': 'VoteRed'}, {'indices': [153, 158], 'text': 'MAGA'}, {'indices': [159, 172], 'text': 'SpookySeason'}, {'indices': [173, 188], 'text': 'FinalCountdown'}, {'indices': [189, 202], 'text': 'SwampTheVote'}]""",1852040007906631936,False,False,https://twitter.com/joneslaurat414/status/1852040007906632004,"""{'id': 1838378614607220736, 'id_str': '1838378614607220736', 'url': 'https://twitter.com/Laura Jones', 'username': 'Laura Jones', 'rawDescription': '@Wisgop Field Organizer | Kidney donor & advocate | Dog lover | Rallying for a united future \ud83c\uddfa\ud83c\uddf8 | Standing strong for what matters most', 'created': datetime.datetime(2024, 9, 24, 0, 43, 25, tzinfo=datetime.timezone.utc), 'followersCount': 131, 'friendsCount': 176, 'statusesCount': 108, 'favouritesCount': 72, 'listedCount': 0, 'mediaCount': 69, 'location': 'Slinger, WI', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1838379198177484800/E0IP6Fq9_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",🎃 “Hocus POTUS! Trump is my BOO! 🧙‍♀️ Let’s make some magic happen this weekend and head to the polls on November 5th! #Trump2024 #TrumpForce47 #VoteRed #MAGA #SpookySeason #FinalCountdown #SwampTheVote https://t.co/nJMFmUQJZc,,,stratified_engagement,2026-02-16 15:30:39.137595
2,2024-11-01,tweet,en,73630,27225,1775,590,0,"🚨 #BREAKING: AP has CONFIRMED the White House ILLEGALLY ALTERED the transcript of Joe Biden calling Trump supports “garbage”

This is a BLATANT violation of the Presidential Records Act, and WH press officials MUST BE PROSECUTED.

DO NOT LET THEM GET AWAY WITH THIS! https://t.co/0EisKXVvUc","""[{'indices': [2, 11], 'text': 'BREAKING'}]""",1852169117140242432,False,False,https://twitter.com/nicksortor/status/1852169117140242556,"""{'id': 2162812627, 'id_str': '2162812627', 'url': 'https://twitter.com/Nick Sortor', 'username': 'Nick Sortor', 'rawDescription': 'On-scene covering stories MSM won\u2019t. | Seen on @TuckerCarlson Tonight, Fox News, Newsmax, Timcast, etc. \u2022 #EastPalestine #Maui #WNC', 'created': datetime.datetime(2013, 10, 29, 13, 0, 21, tzinfo=datetime.timezone.utc), 'followersCount': 587759, 'friendsCount': 18271, 'statusesCount': 20254, 'favouritesCount': 35127, 'listedCount': 2189, 'mediaCount': 4347, 'location': 'DC \ud83c\uddfa\ud83c\uddf8', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1696728176670490626/syt21Drf_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","🚨 #BREAKING: AP has CONFIRMED the White House ILLEGALLY ALTERED the transcript of Joe Biden calling Trump supports “garbage”

This is a BLATANT violation of the Presidential Records Act, and WH press officials MUST BE PROSECUTED.

DO NOT LET THEM GET AWAY WITH THIS! https://t.co/0EisKXVvUc",,,stratified_engagement,2026-02-16 15:30:39.137595
3,2024-11-04,tweet,en,115972,26508,10102,1549,0,"MAKE AMERICA GREAT AGAIN! https://t.co/czQRkZmr59 
#FightForAmerica https://t.co/KT1SzCpQpt","""[{'indices': [51, 67], 'text': 'FightForAmerica'}]""",1853446955176718336,False,False,https://twitter.com/realDonaldTrump/status/1853446955176718678,"""{'id': 25073877, 'id_str': '25073877', 'url': 'https://twitter.com/Donald J. Trump', 'username': 'Donald J. Trump', 'rawDescription': '45th President of the United States of America\ud83c\uddfa\ud83c\uddf8', 'created': datetime.datetime(2009, 3, 18, 13, 46, 38, tzinfo=datetime.timezone.utc), 'followersCount': 92306068, 'friendsCount': 53, 'statusesCount': 59577, 'favouritesCount': 0, 'listedCount': 116845, 'mediaCount': 5244, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","MAKE AMERICA GREAT AGAIN! https://t.co/czQRkZmr59 
#FightForAmerica https://t.co/KT1SzCpQpt",,,stratified_engagement,2026-02-16 15:30:39.137595
4,2024-11-05,tweet,en,223755,20012,6638,652,0,"Bought a home in Pennsylvania just to vote for Donald Trump. 

I’m settling down &amp; making this my home. 

Here to stay. 
#ElectionDay https://t.co/J2GuHacyY0","""[{'indices': [125, 137], 'text': 'ElectionDay'}]""",1853848317131956480,False,False,https://twitter.com/ScottPresler/status/1853848317131956417,"""{'id': 931286316, 'id_str': '931286316', 'url': 'https://twitter.com/ThePersistence', 'username': 'ThePersistence', 'rawDescription': 'I helped defeat Hillary, Kamala, & organized the Baltimore cleanup. We delivered Pennsylvania for President Trump. Check out \u27a1\ufe0f @EarlyVoteAction MAGA \ud83e\udd1d MAHA', 'created': datetime.datetime(2012, 11, 7, 5, 23, 7, tzinfo=datetime.timezone.utc), 'followersCount': 2066772, 'friendsCount': 59646, 'statusesCount': 137226, 'favouritesCount': 531273, 'listedCount': 4600, 'mediaCount': 15445, 'location': 'Make Kindness Cool Again', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1321124227215491072/pIC0lG5M_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","Bought a home in Pennsylvania just to vote for Donald Trump. 

I’m settling down &amp; making this my home. 

Here to stay. 
#ElectionDay https://t.co/J2GuHacyY0",,,stratified_engagement,2026-02-16 15:30:39.137595
5,2024-11-05,tweet,en,6806,2822,5853,89,0,"🚨🇺🇸$100,000 GIVEAWAY

I've done the unthinkable: I placed a $200,000 bet on Trump.

I get $324,000 if he wins.

I'll give away $100,000 on X. I'll pick two winners, $50,000 to two people.

Comment below. This is the biggest giveaway I've ever done.

#Trump2024 #ElectionDay https://t.co/hEvA7hhWfY","""[{'indices': [250, 260], 'text': 'Trump2024'}, {'indices': [261, 273], 'text': 'ElectionDay'}]""",1853773225764995584,False,False,https://twitter.com/wahidzamans/status/1853773225764995465,"""{'id': 20582131, 'id_str': '20582131', 'url': 'https://twitter.com/Wahid Zaman', 'username': 'Wahid Zaman', 'rawDescription': \""I'm Wahid Zaman. Businessman \u2022 Investor \u2022 AI \u2022 Crypto \u2022 #bitcoin #Trump2024\"", 'created': datetime.datetime(2009, 2, 11, 10, 26, 8, tzinfo=datetime.timezone.utc), 'followersCount': 6956, 'friendsCount': 193, 'statusesCount': 820, 'favouritesCount': 9357, 'listedCount': 9, 'mediaCount': 139, 'location': 'Dubai', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1846959297542201344/m7s74gIs_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","🚨🇺🇸$100,000 GIVEAWAY

I've done the unthinkable: I placed a $200,000 bet on Trump.

I get $324,000 if he wins.

I'll give away $100,000 on X. I'll pick two winners, $50,000 to two people.

Comment below. This is the biggest giveaway I've ever done.

#Trump2024 #ElectionDay https://t.co/hEvA7hhWfY",,,stratified_engagement,2026-02-16 15:30:39.137595
6,2024-11-08,tweet,en,11,0,1,1,0,"BREAKING: Fed Chair Jerome Powell just made it clear—if Trump tries to fire him, he legally can’t.
what is your reaction to this? 
 #FEDpolicy #Trump2024 #finance https://t.co/WNgDEZSnlB","""[{'indices': [132, 142], 'text': 'FEDpolicy'}, {'indices': [143, 153], 'text': 'Trump2024'}, {'indices': [154, 162], 'text': 'finance'}]""",1854681703027023872,False,False,https://twitter.com/TRi_pma/status/1854681703027024013,"""{'id': 1361311124151435267, 'id_str': '1361311124151435267', 'url': 'https://twitter.com/The Rational Investor', 'username': 'The Rational Investor', 'rawDescription': 'Official account for The Rational Investor! Also, follow Brian Beamish @crinvestor. Stock trading, crypto trading, and plenty of PMA (+ive mental attitude).', 'created': datetime.datetime(2021, 2, 15, 13, 47, 28, tzinfo=datetime.timezone.utc), 'followersCount': 3139, 'friendsCount': 444, 'statusesCount': 3240, 'favouritesCount': 1036, 'listedCount': 43, 'mediaCount': 1784, 'location': 'Canada', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1437815726157537281/Uoi_1x7v_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","BREAKING: Fed Chair Jerome Powell just made it clear—if Trump tries to fire him, he legally can’t.
what is your reaction to this? 
 #FEDpolicy #Trump2024 #finance https://t.co/WNgDEZSnlB",,,stratified_engagement,2026-02-16 15:30:39.137595
7,2024-11-05,tweet,en,107,57,19,3,0,"If Donald Trump win this Election I will Donate 10000$ to everyone who Retweet &amp; like this Post 

#USElections2024 
#electionday2024 
#USPresidentialElection2024 
#ElonMusk 
#Trump2024 https://t.co/EEHciVA60g","""[{'indices': [102, 118], 'text': 'USElections2024'}, {'indices': [120, 136], 'text': 'electionday2024'}, {'indices': [138, 165], 'text': 'USPresidentialElection2024'}, {'indices': [167, 176], 'text': 'ElonMusk'}, {'indices': [178, 188], 'text': 'Trump2024'}]""",1853690196916900096,False,False,https://twitter.com/AlokPachauri80/status/1853690196916899910,"""{'id': 852902831577153540, 'id_str': '852902831577153540', 'url': 'https://twitter.com/Alok Pachauri', 'username': 'Alok Pachauri', 'rawDescription': 'Jai Shree RAM\ud83d\ude4f\ud83c\udffb\ud83d\ude4f\ud83c\udffb\\n\\n                                                           Faith never Wishes for Miracles but Sometimes Miracles Happen because of Faith', 'created': datetime.datetime(2017, 4, 14, 15, 14, 16, tzinfo=datetime.timezone.utc), 'followersCount': 6673, 'friendsCount': 5006, 'statusesCount': 13579, 'favouritesCount': 19237, 'listedCount': 0, 'mediaCount': 272, 'location': 'India ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1830794817258807296/xsD2VzJu_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","If Donald Trump win this Election I will Donate 10000$ to everyone who Retweet &amp; like this Post 

#USElections2024 
#electionday2024 
#USPresidentialElection2024 
#ElonMusk 
#Trump2024 https://t.co/EEHciVA60g",,,stratified_engagement,2026-02-16 15:30:39.137595
8,2024-11-06,tweet,en,4922,632,178,21,0,"JUST IN: 🇺🇸 Pro #Bitcoin President Donald Trump says ""we're going to be paying down debt, we're going to be reducing taxes."" https://t.co/OnfwHDY7UO","""[{'indices': [16, 24], 'text': 'Bitcoin'}]""",1854097404556943872,False,False,https://twitter.com/BitcoinMagazine/status/1854097404556943679,"""{'id': 361289499, 'id_str': '361289499', 'url': 'https://twitter.com/Bitcoin Magazine', 'username': 'Bitcoin Magazine', 'rawDescription': 'The Most Trusted Voice In #Bitcoin \ud83d\udfe0 https://t.co/iY43rZ4c0Q \u2022 Join us at Bitcoin 2025 \ud83c\udf9f\ufe0f https://t.co/jB7qBqyF30 \u2022 Find us https://t.co/X4mXn4g3Oo \u2022', 'created': datetime.datetime(2011, 8, 24, 15, 14, 54, tzinfo=datetime.timezone.utc), 'followersCount': 3359707, 'friendsCount': 1105, 'statusesCount': 37178, 'favouritesCount': 37575, 'listedCount': 18237, 'mediaCount': 14814, 'location': 'Nashville, TN', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","JUST IN: 🇺🇸 Pro #Bitcoin President Donald Trump says ""we're going to be paying down debt, we're going to be reducing taxes."" https://t.co/OnfwHDY7UO",,,stratified_engagement,2026-02-16 15:30:39.137595
9,2024-11-03,tweet,en,9167,1594,528,91,0,"🇺🇸 Donald Trump: ""Never sell your #Bitcoin"" ✊

 https://t.co/KbFAm4VDJC","""[{'indices': [34, 42], 'text': 'Bitcoin'}]""",1853158794852815616,False,False,https://twitter.com/BitcoinMagazine/status/1853158794852815307,"""{'id': 361289499, 'id_str': '361289499', 'url': 'https://twitter.com/Bitcoin Magazine', 'username': 'Bitcoin Magazine', 'rawDescription': 'The Most Trusted Voice In #Bitcoin \ud83d\udfe0 https://t.co/iY43rZ4c0Q \u2022 Join us at Bitcoin 2025 \ud83c\udf9f\ufe0f https://t.co/jB7qBqyF30 \u2022 Find us https://t.co/X4mXn4g3Oo \u2022', 'created': datetime.datetime(2011, 8, 24, 15, 14, 54, tzinfo=datetime.timezone.utc), 'followersCount': 3360329, 'friendsCount': 1105, 'statusesCount': 37177, 'favouritesCount': 37574, 'listedCount': 18238, 'mediaCount': 14814, 'location': 'Nashville, TN', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","🇺🇸 Donald Trump: ""Never sell your #Bitcoin"" ✊

 https://t.co/KbFAm4VDJC",,,stratified_engagement,2026-02-16 15:30:39.137595
10,2024-11-03,tweet,en,251,152,10,2,0,"Exactly @EricTrump- your father’s stamina is unmatched. We MUST VOTE @realDonaldTrump to MAGA! #Trump2024NowMorethanEver 
 https://t.co/NVlRRDR3Sa","""[{'indices': [95, 120], 'text': 'Trump2024NowMorethanEver'}]""",1853163121130831872,False,False,https://twitter.com/NanLee1124/status/1853163121130832031,"""{'id': 1479290779709239296, 'id_str': '1479290779709239296', 'url': 'https://twitter.com/NanLee Marie Carissimi', 'username': 'NanLee Marie Carissimi', 'rawDescription': '#MAGA; Ballerina; FB: @DonaldJTrumpJr @GenFlynn @Rudygiuliani, @RobertJohnDavi @DineshDSouza, @RogerJStoneJr @RichardGrenell, @PastorDScott, @dbongino', 'created': datetime.datetime(2022, 1, 7, 3, 16, 39, tzinfo=datetime.timezone.utc), 'followersCount': 59328, 'friendsCount': 25645, 'statusesCount': 302893, 'favouritesCount': 71478, 'listedCount': 3, 'mediaCount': 4259, 'location': 'U. S. A. ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1773923021499301888/ou4mPn-e_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""","Exactly @EricTrump- your father’s stamina is unmatched. We MUST VOTE @realDonaldTrump to MAGA! #Trump2024NowMorethanEver 
 https://t.co/NVlRRDR3Sa",,,stratified_engagement,2026-02-16 15:30:39.137595
