Annotation_Id,tweet_id,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,reason,date,annotation_session,Unnamed: 16
302,277,reply,"@ThePatriot420 @MarindaVannoy1 @POTUS When drug costs drop precipitously, it doesn't cost people/insurers more. It costs them LESS. Biden intends to continue to work to see those costs plummet and so does Harris. And if you ever end up with cancer and have huge bills, you will understand the need for this.",2,"No explicit name-calling, however implied animosity towards Trump healthcar policy.",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Opposition other parties healthcare policy,1,No explicit social distrust,2,"“And if you ever end up with cancer and have huge bills, you will understand the need for this.” Portrays clear anguish about if drug costs increase and thus insecurity of other party.",3,Present political facts about drug prices with a certain political stance in favor of biden/Harris. Introduces some exmotional language with using a ‘cancer’ scenario ,13,,05/03/2026,2,"9 min, found this difficult to annotate due to complexity in tone, nothing was explicitly hateful but her opposition and anguish of the other parties healthcare policy was clear, without explicitly referring to the other party. "
303,489,tweet,"trump just said the real threat is ""nuclear warming,"" right before accusing President Biden of saying stupid things. 🙄

WTF is nuclear warming?",2,"Outrage at somehitng trump has said, and slight defence of biden",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,"Tweet doesn’t mention anything about opposition to bipartisanship, but there is dislike for oppositions primary candidate",1,No explicit social distrust,2,"Clear disbelief over trump statement about “nuclear warming”, that gave a slight emptional reaction.",2,Partially presents biased facts on trumps statement about ‘nuclear warming’,11,,05/03/2026,2,5m
304,428,reply,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",3,Calling trump a “dumb entertaner” “Think skin old man”,1,"No support for undem process or partisan name calling, acknowledges “voting blue”, voting is a democratic process",1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,"“#VoteBlueAsifYourLivesDependonit”, implies opposition to bipartisanship",2,Tweet includes terms that imply social distrust “dumb entertainer”,2,Language in tweet clearl implied hatres,1,More of a name calling statement than politicised fact,13,,05/03/2026,2,5m
305,298,reply,@guypbenson Kamala Harris will be Biden 2.0 and Obama 3.0,1,Not sure how this stament is meant to be percieved (good or bad?),1,"No support for undem process or partisan name calling, acknowledges “voting blue”, voting is a democratic process",1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,"Tweet doesn’t mention anything about opposition to bipartisanship, but there is dislike for oppositions primary candidate",1,No explicit social distrust,1,No explicit language indicating social distance,2,"By labelling kamala as ‘Obama 3.0’, there is some biased evaluation of politicised fact",9,,05/03/2026,2,3m
306,61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,2,“Maga ploys are so predicatble and stale” indicates some animosity toeards other party ,1,"No support for undem process or partisan name calling, acknowledges “voting blue”, voting is a democratic process",1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,"“Magas ploys” suggests that user believes MAGA has sinister schemes, no real exxageration though.",2,“Maga ploys” indiactes distrust at Maga campaign tactics,2,Referiring to ploys indicated distrustr,2,Calling Hilalry emails a Maga ploy,13,,05/03/2026,2,
307,10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1,,1,,1,,1,,1,,1,,2,,2,,10,,05/03/2026,2,
308,218,reply,@NHAunleashed Not this time… we are barely making it through Biden,2,“Barely making it through Biden” indicates some animosity to how the Biden administration has handles,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No specific reason to believe this user has opposition to Bi[artisanship despite crtitique of biden admin,2,Distrust of biden admin “barely making it through Biden”,1,Tweet doesn’t indicate resistance to interpersonal contact with outpartisans,2,Slight biased evaluation of politicised facts with wording “barely making it through”,11,,05/03/2026,2,
309,254,reply,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",3,“Creepy Joe biden” name-calling and exxageration,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,Dislike for president but not necessarily other partisans ,2,Name calling ,2,Name calling,1,No evaluation of poltical fact just statement,12,,05/03/2026,2,
310,264,tweet,Biden lied !,2,"“Biden lied” clear animosity and emotional language, no name calling ",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,,2,“Biden lied” indicated distrust,2,“Biden lied’ is a statement that indiates distrust,1,"Don’t know hat this twet is referring to, could be an evaluation of political fact but unclear ",11,,05/03/2026,2,
311,34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,3,"calling maga “populist authortarian”, quite emotional language",2,“1 down 1 to go” alludes to undemocratic process,2,“1 down 1 to go” alludes to some violend language,1,No language to assume support for undemocratic candidates,2,"“1 down 1 to go” referring to GOP , Clear opposotion",2,,2,,2,,16,,05/03/2026,2,
312,6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",3,"'Threat to our republic', exxagerated language implying fear about Kamala as a cnadidate ",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,“Reason not to vote for her” indicates opposition,2,“Threat” indicates distrust,2,Insecurity in language calking kamala a “threat”,2,“Threat to our republic” evaluation of political fact with no grounding,14,,05/03/2026,2,
