Variable,Model_A,Model_B,Krippendorff_alpha
V1,GPT-4o,claude-haiku-4-5,0.8069
V1,GPT-4o,DeepSeek-V3,0.7949
V1,GPT-4o,GPT-4o-mini,0.7835
V1,GPT-4o,Llama-3.3-70B,0.7893
V1,GPT-4o,Mistral-7B,0.7906
V1,GPT-4o,Llama-3.2-3B,0.0729
V1,claude-haiku-4-5,DeepSeek-V3,0.834
V1,claude-haiku-4-5,GPT-4o-mini,0.7253
V1,claude-haiku-4-5,Llama-3.3-70B,0.7287
V1,claude-haiku-4-5,Mistral-7B,0.7329
V1,claude-haiku-4-5,Llama-3.2-3B,0.0419
V1,DeepSeek-V3,GPT-4o-mini,0.6727
V1,DeepSeek-V3,Llama-3.3-70B,0.6929
V1,DeepSeek-V3,Mistral-7B,0.6936
V1,DeepSeek-V3,Llama-3.2-3B,-0.0553
V1,GPT-4o-mini,Llama-3.3-70B,0.8586
V1,GPT-4o-mini,Mistral-7B,0.862
V1,GPT-4o-mini,Llama-3.2-3B,0.3275
V1,Llama-3.3-70B,Mistral-7B,0.9861
V1,Llama-3.3-70B,Llama-3.2-3B,0.2783
V1,Mistral-7B,Llama-3.2-3B,0.2739
V2,GPT-4o,claude-haiku-4-5,0.3206
V2,GPT-4o,DeepSeek-V3,0.2147
V2,GPT-4o,GPT-4o-mini,0.505
V2,GPT-4o,Llama-3.3-70B,0.5455
V2,GPT-4o,Mistral-7B,0.5425
V2,GPT-4o,Llama-3.2-3B,0.1888
V2,claude-haiku-4-5,DeepSeek-V3,0.4484
V2,claude-haiku-4-5,GPT-4o-mini,0.1582
V2,claude-haiku-4-5,Llama-3.3-70B,0.3144
V2,claude-haiku-4-5,Mistral-7B,0.2984
V2,claude-haiku-4-5,Llama-3.2-3B,-0.1421
V2,DeepSeek-V3,GPT-4o-mini,0.0802
V2,DeepSeek-V3,Llama-3.3-70B,0.1495
V2,DeepSeek-V3,Mistral-7B,0.1415
V2,DeepSeek-V3,Llama-3.2-3B,-0.2721
V2,GPT-4o-mini,Llama-3.3-70B,0.5997
V2,GPT-4o-mini,Mistral-7B,0.6179
V2,GPT-4o-mini,Llama-3.2-3B,0.3824
V2,Llama-3.3-70B,Mistral-7B,0.9345
V2,Llama-3.3-70B,Llama-3.2-3B,0.3291
V2,Mistral-7B,Llama-3.2-3B,0.3383
V3,GPT-4o,claude-haiku-4-5,0.1892
