row_id,political_leaning,text,hashtags,post_type,like_count,date
1,republican,"If we're just making stuff up, Donald Trump has a net 87,373,438 point advantage over CommieLa Harris in a recent ""not a dumb communist"" poll.",[],quote,582,2024-08-18
2,republican,"@JonHaidt And as @jtrothwell @BrookingsInst has found, “Conservative parents are the most likely to adopt the parenting practices associated with adolescent mental health”, which is “warm, responsive, *and* rule-bound, disciplined parenting.” https://t.co/KBrXzwFhR1",[],reply,120,2024-08-18
3,republican,JD Vance is exactly what America needs as its VP. #TrumpVance2024ToSaveAmerica https://t.co/ggobUzdCus,"""[{'indices': [50, 78], 'text': 'TrumpVance2024ToSaveAmerica'}]""",tweet,167,2024-08-09
4,republican,@dom_lucre Kanye West spotted near Donald Trump's Rally https://t.co/G2o00NWUKL,[],reply,116,2024-08-18
5,republican,Trump is shitting the bed so hard that some online conservatives are yearning for Ron DeSantis lol,[],quote,518,2024-08-18
6,republican,"The world will be a better place with Trump leading the way to Make America Great Again.

$MAGA #MAGA2024 #TRUMP2024 #US2024ELECTION https://t.co/0mj4SotZXf","""[{'indices': [96, 105], 'text': 'MAGA2024'}, {'indices': [106, 116], 'text': 'TRUMP2024'}, {'indices': [117, 132], 'text': 'US2024ELECTION'}]""",tweet,176,2024-08-18
7,republican,"Nothing to see here folks. 

Just MAGA wandering around pretending that they have JD Vance’s baby batter in a jar. 

Not weird. 
Not weird at all. https://t.co/Vr8kfzAVRg",[],tweet,118,2024-08-18
8,republican,The world would be a better place without Donald Trump and Vladimir Putin.,[],tweet,582,2024-08-18
9,republican,What will it take for MAGA folks to believe Trump is pure trash?,[],tweet,543,2024-08-18
10,republican,"Donald Trump really hates this ad. His campaign has threatened @ProjectLincoln with a law suit if they don't take it down.

It would be a real shame if this ad went viral.

 https://t.co/WZx1Gkk6Oo",[],tweet,3394,2024-08-18
11,republican,BREAKING: Lindsey Graham is now warning Donald Trump his antics are not winning over voters. The Republican Party is imploding.,[],tweet,11887,2024-08-18
12,republican,"Donald Trump’s tariff plan would cost working class families an extra $2500 per year. 

Do you want to pay an extra $2500 per year just because Donald Trump doesn’t understand how tariffs work?",[],quote,226,2024-08-18
13,republican,@esjesjesj I love the fact that a failed e-sports player is a huge conservative online figure now,[],reply,423,2024-08-18
14,republican,"@ItsJoshuaYoon @ShadowofEzra candace is real; nothing fake about her;
she's been a truth teller for a long time,
exposing BLM/Demon-crat party; now, she
is awakening to the z*o agenda &amp; speaking
truth to power; she has great influence in the conservative moment. red-pilling many now.
💥💥💥",[],reply,141,2024-08-18
15,republican,Trump boat parade today! #Trump2024 https://t.co/zfmQUdvn9D,"""[{'indices': [25, 35], 'text': 'Trump2024'}]""",tweet,13789,2024-08-18
16,republican,"@kylegriffin1 This is a campaign that has learned their lesson. 2016 &amp; 2020 opened a lot of eyes, and taught hard truths about how evil and manipulative the GOP has become. They'll get more violent and desperate the smaller they become. Gotta be prepared.",[],reply,227,2024-08-18
17,republican,"Donald Trump has boasted that, if he returns to office, he will dispatch forces to patrol the border, suppress protests and fight crime. His vision of using the military to enforce the law domestically would carry profound implications for civil liberties. https://t.co/hXhKNXbkcy",[],tweet,202,2024-08-18
18,republican,Donald Trump saying he wants to encourage legal immigration is like my dad saying he would take me to Legoland. He never did and I lost interest in going to Legoland. Lesson here.,[],tweet,226,2024-08-18
19,republican,"The GOP have spent decades pitting low-income Americans against each other for political gain. @RevDrBarber says if the 30 million Americans living in poverty united and voted, they would be ""the largest potential swing vote in the country."" #velshi
https://t.co/S4tnTpy1X1","""[{'indices': [242, 249], 'text': 'velshi'}]""",tweet,179,2024-08-18
20,republican,"@CollinRugg Senator Amy Klobuchar's praise for Biden, calling him the savior of our democracy and predicting ‘tears of joy’ at the DNC, is a strong statement on his impact. 
It’s no wonder some #MAGA #Trumpers might have a tough time accepting it. 
The reality is, Biden's leadership has made","""[{'indices': [194, 199], 'text': 'MAGA'}, {'indices': [200, 209], 'text': 'Trumpers'}]""",reply,134,2024-08-18
21,republican,"""15 years ago, if you said anything bad about Israel or the Jewish people, you were finished as a politician — The most powerful lobby in this country by far, was Israel and Jewish people. But today what happened?""

-Donald Trump https://t.co/azu7zE2MhD",[],tweet,540,2024-08-18
22,republican,@RpsAgainstTrump The Repubs and MAGA lovers can hate her all they want. We will vote for her in November because #KamalaBringsUsJoy 🤩 https://t.co/bdNOw4yDNW,"""[{'indices': [113, 131], 'text': 'KamalaBringsUsJoy'}]""",reply,200,2024-08-09
23,republican,"Without Republicans stabbing the American people in the back (including those we think are the good guys), we wouldn’t be in the mess we are in today! This is just ONE example https://t.co/ZFsp6UkEGe",[],tweet,298,2024-08-18
24,republican,"NEW: In his year-long prosecution of Donald Trump for trying to subvert the 2020 election, Jack Smith asked for exactly *zero* delays – until Thursday.

It comes as he and DOJ absorb the impact of the Supreme Court's immunity ruling.

w/ @joshgerstein 

https://t.co/XxqypO99rb https://t.co/ULFq8fDJzI",[],tweet,331,2024-08-09
25,republican,"Do you want to see Hillary Clinton leave the United States if Donald Trump is elected President in 2024 ?

A. YES
B. NO https://t.co/A4jr3um8uH",[],tweet,1313,2024-08-09
26,republican,"@realDonaldTrump Dear Donald Trump:
Let me share this analogy with you. CFK, who is obviously Cristina Fernández de Kirchner, is the ideological author of one of the greatest cases of global corruption, disguised under socialist and progressive banners. Tell your fellow countrymen that we https://t.co/QNY9jdJtzC",[],reply,677,2024-08-18
27,republican,Looks like a Colorado local tv news segment made it into this Donald Trump ad.,[],quote,202,2024-08-18
28,republican,@BillKristol It’s been quite entertaining watching your trajectory of being a fake conservative to now fully embracing Dengist Communism.,[],reply,118,2024-08-18
29,republican,"Ronny Jackson was demoted for dealing drugs while in uniform. 

He lies about his rank. 
He assaulted a police officer. 

Where is the outrage from MAGA?",[],tweet,977,2024-08-09
30,republican,GOP nominee to run North Carolina schools advocated pro-Trump military coup in January 6 video - CNN https://t.co/AVr6EnSHdv,[],tweet,156,2024-08-09
