Variable,Model_A,Model_B,Krippendorff_alpha
V1,GPT-4o,claude-haiku-4-5,0.8069
V1,GPT-4o,DeepSeek-V3,0.7949
V1,claude-haiku-4-5,DeepSeek-V3,0.834
V2,GPT-4o,claude-haiku-4-5,0.3206
V2,GPT-4o,DeepSeek-V3,0.2147
V2,claude-haiku-4-5,DeepSeek-V3,0.4484
V3,GPT-4o,claude-haiku-4-5,0.1892
V3,GPT-4o,DeepSeek-V3,0.2023
V3,claude-haiku-4-5,DeepSeek-V3,0.5685
V4,GPT-4o,claude-haiku-4-5,-0.019
V4,GPT-4o,DeepSeek-V3,0.1503
V4,claude-haiku-4-5,DeepSeek-V3,0.241
V5,GPT-4o,claude-haiku-4-5,0.3557
V5,GPT-4o,DeepSeek-V3,0.7391
V5,claude-haiku-4-5,DeepSeek-V3,0.4088
V6,GPT-4o,claude-haiku-4-5,0.0429
V6,GPT-4o,DeepSeek-V3,0.3417
V6,claude-haiku-4-5,DeepSeek-V3,0.2923
V7,GPT-4o,claude-haiku-4-5,0.4607
V7,GPT-4o,DeepSeek-V3,0.56
V7,claude-haiku-4-5,DeepSeek-V3,0.6235
V8,GPT-4o,claude-haiku-4-5,0.6433
V8,GPT-4o,DeepSeek-V3,0.5003
V8,claude-haiku-4-5,DeepSeek-V3,0.6695
