llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,1,Does not satisfy any factor,1,Does not satisfy any factor,1,Does not satisfy any factor,1,Neither A nor B exists,1,Neither A nor B exists,1,Does not satisfy any factor,1,Neither A nor B exists,10,2026-03-05 13:22:10,20260305_1322
2,2,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotion/exaggeration,1,No support for undemocratic practices,1,No support for partisan violence,1,No support for undemocratic candidates,1,No opposition to bipartisanship,1,No social distrust,1,No social distance,1,No biased evaluation of politicized facts,8,2026-03-05 13:22:15,20260305_1322
3,3,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",2,Partisan name-calling (referring to 'The Trump administration'),1,No language supporting undemocratic practices,1,No language supporting partisan violence,1,No language supporting undemocratic candidates,1,No language opposing bipartisanship,1,No language showing social distrust,1,No language showing social distance,1,No language showing biased evaluation of politicized facts,9,2026-03-05 13:22:21,20260305_1322
4,4,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,Partisan name-calling,2,Partisan name-calling,1,None,1,None,1,None,1,None,1,None,1,None,10,2026-03-05 13:22:27,20260305_1322
5,5,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",2,Partisan name-calling,3,Shows support for undemocratic practices (exhaustively monitoring polling stations and scrutinizing mail-in ballots) and partisan name-calling (cheat),1,Does not satisfy factor A (Shows support for partisan violence),1,Does not satisfy factor A (Shows support for undemocratic candidates),1,Neither A nor B exists,1,Neither A nor B exists,1,"Does not satisfy factor A (Terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination)",2,Partially presents political facts or discusses controversial issue with partisan stance,12,2026-03-05 13:22:33,20260305_1322
6,6,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",3,Partisan name-calling,2,Emotion or exaggeration (She’s a threat to our Republic),1,Does not satisfy factor A (Shows support for partisan violence),1,Does not satisfy factor A (Shows support for undemocratic candidates),2,Emotion or exaggeration (She’s a threat to our Republic),2,Emotion or exaggeration (She’s a threat to our Republic),1,"Does not satisfy factor A (Terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination)",2,Emotion or exaggeration (She’s a threat to our Republic),14,2026-03-05 13:22:40,20260305_1322
7,7,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,3,Satisfies A (shows support for undemocratic practices) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Satisfies A (shows support for partisan violence) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Satisfies A (shows support for undemocratic candidates) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,3,"Satisfies A (terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination) and B1 (emotion or exaggeration)",3,Both A (partially presents political facts or discusses controversial issue with partisan stance) and B (emotion or exaggeration) exist,24,2026-03-05 13:22:51,20260305_1322
8,8,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,2,"Does not satisfy A, but satisfies B1 (emotion or exaggeration)",2,"Does not satisfy A, but satisfies B1 (emotion or exaggeration)",1,Does not satisfy A,2,One of A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exists,2,One of A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exists,2,"One of A (terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination) and B1 (emotion or exaggeration) exists",2,One of A (partially presents political facts or discusses controversial issue with partisan stance) and B (emotion or exaggeration) exists,16,2026-03-05 13:22:59,20260305_1322
9,9,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,2,Partisan name-calling (Trump/RNC vs Kamala/DNC),1,None,1,None,1,None,1,None,1,None,1,None,1,None,9,2026-03-05 13:23:03,20260305_1322
10,10,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,3,Satisfies A (shows support for undemocratic practices) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Satisfies A (shows support for partisan violence) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Satisfies A (shows support for undemocratic candidates) and B1 (partisan name-calling) and B2 (emotion or exaggeration),3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,3,"Satisfies A (terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination) and B1 (emotion or exaggeration)",3,Both A (partially presents political facts or discusses controversial issue with partisan stance) and B (emotion or exaggeration) exist,24,2026-03-05 13:23:13,20260305_1322
11,11,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,3,Partisan name-calling,1,None,1,None,1,None,1,None,1,None,1,None,1,None,10,2026-03-05 13:23:19,20260305_1322
12,12,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,3,Satisfies A (shows support for undemocratic practices) and B1 and B2 (partisan name-calling and emotion or exaggeration),2,"Does not satisfy A (shows support for partisan violence), but satisfies B1 (partisan name-calling)",3,Satisfies A (shows support for undemocratic candidates) and B1 and B2 (partisan name-calling and emotion or exaggeration),3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,3,Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist,2,"Does not satisfy A (terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination), but satisfies B1 (emotion or exaggeration)",3,Both A (partially presents political facts or discusses controversial issue with partisan stance) and B (emotion or exaggeration) exist,22,2026-03-05 13:23:30,20260305_1322
13,13,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,tweet,"Trump & MAGA politics crushes by far the Harris & Waltz traitors
 https://t.co/Xo5msZZ1iy",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",17,2026-03-05 13:23:48,20260305_1322
14,14,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,3,Both A and B exist (name-calling 'GOP' and partisan tone),3,Both A and B exist (support for undemocratic practices and partisan name-calling),3,Both A and B exist (support for undemocratic practices and partisan name-calling),3,Both A and B exist (support for undemocratic practices and partisan name-calling),2,One of A or B exists (partisan tone),2,One of A or B exists (partisan tone),2,One of A or B exists (partisan tone),2,One of A or B exists (partisan tone),20,2026-03-05 13:23:55,20260305_1322
15,15,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",3,Both A (partisan name-calling) and B (emotion or exaggeration) exist,2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",2,"Does not satisfy A, but satisfies B1 (partisan name-calling)",1,Does not satisfy A,2,"Does not satisfy A, but satisfies B (emotion or exaggeration)",2,"Does not satisfy A, but satisfies B (emotion or exaggeration)",1,Does not satisfy A,2,"Does not satisfy A, but satisfies B (emotion or exaggeration)",15,2026-03-05 13:24:03,20260305_1322
16,16,7,meta-llama/Llama-3.2-3B-Instruct-Turbo,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years & the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",2,Partisan name-calling (GOP candidate),1,None,1,None,1,None,1,None,1,None,1,None,1,None,9,2026-03-05 13:24:07,20260305_1322
