row_id,post_type,text,keyword_category,hashtags,like_count,date
1,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,republican,[],0,2024-08-13
2,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,republican,[],3,2024-08-18
3,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",republican,"""[{'indices': [199, 204], 'text': 'MAGA'}]""",0,2024-08-09
4,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,republican,[],2,2024-08-09
5,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station &amp; ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",republican,"""[{'indices': [198, 202], 'text': 'RNC'}]""",0,2024-08-17
6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",republican,"""[{'indices': [60, 70], 'text': 'Trump2024'}]""",0,2024-08-14
7,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",republican,"""[{'indices': [0, 10], 'text': 'MAGAMoron'}, {'indices': [15, 26], 'text': 'antisemite'}, {'indices': [43, 54], 'text': 'RoyceWhite'}, {'indices': [74, 84], 'text': 'Minnesota'}, {'indices': [88, 108], 'text': 'VoteBlueDownBallott'}, {'indices': [110, 142], 'text': 'VoteBlueAsifYourLivesDependonit'}, {'indices': [144, 176], 'text': 'VoteBlueToStopACriminalDictator'}]""",0,2024-08-14
8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",republican,[],0,2024-08-19
9,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,republican,[],1,2024-08-20
10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",republican,[],3,2024-08-13
11,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,republican,[],1,2024-08-12
12,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",republican,[],0,2024-08-15
13,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",republican,[],0,2024-08-08
14,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,republican,[],0,2024-08-19
15,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",republican,[],0,2024-08-11
16,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",republican,[],5,2024-08-12
17,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,republican,"""[{'indices': [45, 55], 'text': 'SleepyJoe'}, {'indices': [214, 219], 'text': 'MAGA'}, {'indices': [220, 229], 'text': 'MAGA2024'}]""",0,2024-08-14
18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,republican,[],0,2024-08-15
19,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",republican,[],0,2024-08-13
20,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,republican,[],0,2024-08-17
21,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",republican,[],0,2024-08-15
22,reply,@Acyn Is this the point where MAGA heads start exploding!!??,republican,[],4,2024-08-21
23,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",republican,[],0,2024-08-21
24,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,republican,[],0,2024-08-09
25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,republican,[],0,2024-08-16
26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",republican,[],1,2024-08-09
27,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",republican,[],0,2024-08-21
28,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,republican,"""[{'indices': [169, 177], 'text': 'GodWins'}, {'indices': [178, 183], 'text': 'MAGA'}, {'indices': [191, 198], 'text': 'NCSWIC'}]""",0,2024-08-20
29,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,republican,[],0,2024-08-12
30,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",republican,"""[{'indices': [163, 168], 'text': 'MAGA'}]""",0,2024-08-20
31,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco,republican,[],0,2024-08-09
32,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people,republican,[],0,2024-08-08
33,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!,republican,[],0,2024-08-19
34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,republican,[],0,2024-08-12
35,quote,If Donald Trump loses this election this Country is finished as we know it.,republican,[],1,2024-08-21
36,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned.",republican,[],0,2024-08-13
37,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!,republican,[],0,2024-08-19
38,reply,@MAGA_TheMoon Realy...,republican,[],0,2024-08-18
39,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).,republican,[],0,2024-08-10
40,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸",republican,[],2,2024-08-09
41,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party",republican,[],0,2024-08-20
42,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone.",republican,[],1,2024-08-21
43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,republican,[],0,2024-08-16
44,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA,republican,"""[{'indices': [253, 258], 'text': 'MAGA'}]""",2,2024-08-09
45,reply,"@Orangadan1 @iamharaldur One can both believe in socialism and be resistant to change (conservative). The two are separate considerations. The Nazis were highly conservative, they hated the changes they saw in German society and wanted to wind back the clock.",republican,[],0,2024-08-18
46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5",republican,[],0,2024-08-15
47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.,republican,[],0,2024-08-18
48,tweet,".@megynkelly you spray out your #Trump @GOP cult #propaganda, while The Huckster himself (incl his latest, unhinged @AI generated crowd imagery lies) is fully, publicly, displaying his “mental health” issues &amp; uncontrolled pathologies. He IS running for #USA president! #democracy",republican,"""[{'indices': [32, 38], 'text': 'Trump'}, {'indices': [49, 60], 'text': 'propaganda'}, {'indices': [258, 262], 'text': 'USA'}, {'indices': [274, 284], 'text': 'democracy'}]""",2,2024-08-12
49,reply,@RKGold @TheJordanRachel Like all Trump supporters😂😂😂😂 the Donald Trump reform immigration to make it harder to work illegally?,republican,[],0,2024-08-13
50,quote,"the HAMAS wing of Congress must go....
same with the MAGA wing.....",republican,[],1,2024-08-08
51,reply,"@GOP_Democracy @SykesCharlie @daveweigel No, they’re in a cult",republican,[],4,2024-08-16
52,reply,"@thetrueshelby These are actual MAGA posts and billboards.

Mike Fuckabee AKA Mike #Hypocrite https://t.co/X2RnmBgEQF",republican,"""[{'indices': [83, 93], 'text': 'Hypocrite'}]""",8,2024-08-15
53,reply,@Lynnebf_2846 @RNC They are liars.,republican,[],0,2024-08-09
54,reply,"@N00saGirl Yep! Funny how Kamala's ""platform"" is finally dropping next week—right after the Trump hack news. Coincidence? Maybe she just needed some ""inspiration"" from the GOP. Plagiarism runs deep in the Dems, and Kamala's just keeping the tradition alive.",republican,[],1,2024-08-11
55,reply,"@goddeketal I used to have Eric Carmen follow me. He was a great singer, and a great conservative.",republican,[],0,2024-08-18
56,reply,@elonmusk we love Donald Trump to be President of USA. Elon Musk is a special guest of honor.,republican,[],0,2024-08-14
57,reply,"@heatfan_YG71 @RepMTG Probably true because in this case, the “no matter what“ happens to be Donald Trump.",republican,[],0,2024-08-12
58,reply,@highbrow_nobrow @AccountableGOP Deflect &amp; Deny. That should be the new MAGA motto.,republican,[],2,2024-08-12
