llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"Partisan name-calling is implied by 'MAGA hero', which suggests a strong partisan affiliation",1,No support for undemocratic practices is explicitly stated in the tweet,1,No support for partisan violence is mentioned in the tweet,2,"The tweet implies support for Matt Gaetz, who might be considered an undemocratic candidate by some, but without emotion or exaggeration",1,No opposition to bipartisanship is explicitly stated in the tweet,1,No language reducing trust in people in general is present in the tweet,1,"No terms increasing distrust, distance, or prejudice are found in the tweet",2,"The tweet partially presents a political fact with a partisan stance by mentioning 'MAGA hero', but without emotion or exaggeration",11,2026-03-05 11:06:06,20260305_1106
2,2,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotion/exaggeration towards opposing partisans,1,"Does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration",1,"Does not show support for partisan violence, partisan name-calling, or emotion/exaggeration",1,"Does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration towards bipartisanship",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration indicating social distrust",1,"Does not satisfy factors of social distance, such as terms that increase distrust or emotion/exaggeration",1,"No partial presentation of political facts or discussion of controversial issues with partisan stance, and no emotion/exaggeration",8,2026-03-05 11:06:35,20260305_1106
3,3,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotion/exaggeration towards opposing partisans is present in the tweet,1,"The tweet does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration",1,"The tweet does not show support for partisan violence, partisan name-calling, or emotion/exaggeration",2,The tweet shows support for a candidate (implied by #MAGA) but does not contain partisan name-calling or emotion/exaggeration,1,The tweet does not express opposition to bipartisanship or contain name-calling/emotion/exaggeration,1,The tweet does not express social distrust or contain name-calling/emotion/exaggeration,1,"The tweet does not express social distance or contain terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination",2,"The tweet partially presents a political fact (support for a candidate) with a partisan stance (#MAGA), but does not contain emotion/exaggeration",10,2026-03-05 11:06:42,20260305_1106
4,4,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,"Partisan name-calling is present, as 'Swiftboating' implies a negative and controversial campaign tactic",1,"The tweet does not show support for undemocratic practices, but rather criticizes them",1,There is no support for partisan violence in the tweet,1,The tweet does not express support for undemocratic candidates,1,There is no opposition to bipartisanship or cross-partisan collaboration in the tweet,1,The tweet does not express distrust of people in general,1,"There is no language that increases distrust, distance, insecurity, hate, prejudice, or discrimination",2,"The tweet partially presents a political fact with a partisan stance, implying a negative legacy",10,2026-03-05 11:06:48,20260305_1106
5,5,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",2,"The tweet implies dislike for the opposing party by using the term 'cheat', indicating partisan animosity with name-calling.",3,"The tweet shows support for undemocratic practices by suggesting exhaustive monitoring and scrutiny of polling stations and mail-in ballots, implying a willingness to forgo democratic principles for partisan gain, and uses emotion by framing the opposition as 'cheat'.",1,There is no explicit support for partisan violence in the tweet.,2,"The tweet implies support for candidates who may engage in undemocratic practices by emphasizing the need to 'out vote the cheat', but does not directly name-call or use emotion.",2,"The tweet resists cross-partisan collaboration by framing the election as a competition against 'cheat', using terms that reduce trust.",2,"The tweet expresses distrust of the opposing party by using the term 'cheat', reducing trust in the electoral process.",2,"The tweet increases distrust and distance by implying the opposition is 'cheat', but does not explicitly mention events that damage communities.",3,"The tweet partially presents political facts with a partisan stance, implying the opposition is 'cheat', and uses emotion to skepticism of facts that favor the worldview of the other party.",17,2026-03-05 11:06:55,20260305_1106
6,6,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,Partisan name-calling is implied by 'threat to our Republic' which suggests strong dislike for the opposing candidate,2,"Emotion or exaggeration exists with 'threat to our Republic', but no explicit support for undemocratic practices is mentioned",1,No support for partisan violence is mentioned in the tweet,2,"The hashtag #Trump2024 shows support for a candidate, but without explicit mention of ignoring undemocratic practices, and emotion/exaggeration is present with 'threat to our Republic'",2,"Emotion or exaggeration exists with 'threat to our Republic', implying resistance to the opposing candidate, but no explicit name-calling or terms reducing trust in bipartisanship are mentioned",2,"Emotion or exaggeration exists with 'threat to our Republic', suggesting distrust, but no explicit name-calling or terms reducing trust in general are mentioned",2,"Terms increasing distrust are present with 'threat to our Republic', but no emotion/exaggeration or events damaging communities are explicitly mentioned",2,"The tweet partially presents a political fact with a partisan stance by implying the candidate is a 'threat to our Republic', but no emotion or exaggeration is explicitly used to evaluate this fact",15,2026-03-05 11:07:00,20260305_1106
7,7,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,"The tweet contains partisan name-calling ('#MAGAMoron', '#antisemite') and emotion/exaggeration ('#VoteBlueAsifYourLivesDependonit', '#VoteBlueToStopACriminalDictator')",2,"The tweet does not explicitly show support for undemocratic practices, but contains partisan name-calling and emotion/exaggeration",1,The tweet does not show support for partisan violence,2,"The tweet implies support for a candidate (#RoyceWhite) with undemocratic practices, but does not contain partisan name-calling or emotion/exaggeration in this context",3,"The tweet contains name-calling ('#MAGAMoron', '#antisemite') and emotion/exaggeration ('#VoteBlueAsifYourLivesDependonit', '#VoteBlueToStopACriminalDictator') that reduce trust in the opposing party",3,"The tweet contains name-calling ('#MAGAMoron', '#antisemite') and emotion/exaggeration ('#VoteBlueAsifYourLivesDependonit', '#VoteBlueToStopACriminalDictator') that reduce trust in people in general",3,"The tweet contains terms that increase distrust and distance ('#MAGAMoron', '#antisemite') and emotion/exaggeration ('#VoteBlueAsifYourLivesDependonit', '#VoteBlueToStopACriminalDictator')",3,"The tweet partially presents political facts with a partisan stance ('#VoteBlueDownBallott', '#VoteBlueToStopACriminalDictator') and contains emotion/exaggeration",20,2026-03-05 11:07:06,20260305_1106
8,8,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,The tweet contains partisan name-calling ('them') and emotion/exaggeration ('You sound mentally ill'),2,"The tweet does not show support for undemocratic practices, but contains emotion/exaggeration ('You sound mentally ill')",1,The tweet does not show support for partisan violence,1,The tweet does not show support for undemocratic candidates,2,The tweet contains name-calling ('them') that reduces trust,3,The tweet contains name-calling ('You sound mentally ill') and emotion/exaggeration that reduces trust,2,The tweet contains terms that increase distrust ('them'),1,The tweet does not partially present political facts or discuss controversial issues with a partisan stance,15,2026-03-05 11:07:12,20260305_1106
9,9,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotion/exaggeration towards opposing partisans is present in the tweet,1,"The tweet does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration",1,"The tweet does not show support for partisan violence, partisan name-calling, or emotion/exaggeration",1,"The tweet does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration",1,The tweet does not express resistance to cross-partisan collaboration or contain name-calling/emotion/exaggeration,1,The tweet does not express distrust of people in general or contain name-calling/emotion/exaggeration,1,The tweet does not express resistance to interpersonal contact with outpartisans or contain terms that increase distrust/distance,2,The tweet partially presents a political fact with a partisan stance by comparing protest numbers at Trump/RNC events to Kamala/DNC events,9,2026-03-05 11:07:17,20260305_1106
10,10,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",2,"Partisan name-calling is implied by quoting Mitch McConnell in a negative context, but no clear emotion or exaggeration is present",1,"The tweet does not show support for undemocratic practices, but rather criticizes them",1,There is no support for partisan violence in the tweet,1,"The tweet does not show support for undemocratic candidates, but rather criticizes Mitch McConnell's actions",2,"The tweet implies opposition to bipartisan collaboration by highlighting Mitch McConnell's divisive speech, but does not contain clear emotion or exaggeration",2,"The tweet contains name-calling by implication, as it criticizes Mitch McConnell's actions, but does not contain clear emotion or exaggeration",2,"The tweet increases distrust by highlighting discriminatory actions, but does not contain clear emotion or exaggeration",2,"The tweet partially presents a political fact with a partisan stance, criticizing Mitch McConnell's speech, but does not contain clear emotion or exaggeration",13,2026-03-05 11:07:24,20260305_1106
