case,tweet_id,text,annotator,V1,V2,V3,V4,V5,V6,V7,V8,total_score,V1_reason,V2_reason,V3_reason,V4_reason,V5_reason,V6_reason,V7_reason,V8_reason,H1 Reason
Case 1,208,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,H1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Unbiased language; just reporting
Case 1,208,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,H2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,No name calling or animsoity to other party,No support for undem process or partisan name calling,No language that supports for partisan violence,No language to assume support for undemocratic candidates,No language to explicitly inidcate opposition to bipartisanship,No language to suggest distrust to society,No language that has resistance to interpersonal contact with outpartisans,Headline without any misleading / neutral labguage,
Case 1,208,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,GPT-4o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,No partisan name-calling or emotional language present.,No support for undemocratic practices or emotional language present.,No support for partisan violence or emotional language present.,No support for undemocratic candidates or emotional language present.,No opposition to bipartisanship or emotional language present.,No social distrust or emotional language present.,No social distance or emotional language present.,No biased evaluation of politicized facts or emotional language present.,
Case 1,208,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,Claude,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,No partisan name-calling or emotional exaggeration; the tweet neutrally describes Trump's campaign adjusting to Harris's candidacy.,"No support for undemocratic practices, no name-calling, and no exaggeration present in the tweet.","No support for partisan violence, name-calling, or exaggeration in the tweet.",No support for undemocratic candidates or related factors present in the tweet.,"No name-calling, trust-reducing terms, or emotional exaggeration; the tweet is a neutral political observation.",No terms that reduce trust or emotional exaggeration present in the tweet.,"No terms increasing distrust, distance, or insecurity, and no emotional exaggeration or community-damaging events referenced.",The tweet does not present partisan facts or take a controversial stance; it simply notes a campaign adjustment.,
Case 1,208,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,Llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,Neither partisan name-calling nor emotion or exaggeration exists in the tweet.,"The tweet does not show support for undemocratic practices, nor does it contain partisan name-calling or emotion/exaggeration.","The tweet does not show support for partisan violence, nor does it contain partisan name-calling or emotion/exaggeration.","The tweet does not show support for undemocratic candidates, nor does it contain partisan name-calling or emotion/exaggeration.",Neither name-calling nor terms that reduce trust exist in the tweet.,Neither name-calling nor terms that reduce trust exist in the tweet.,Neither terms that increase distrust nor emotion/exaggeration exist in the tweet.,Neither partially presenting political facts nor emotion/exaggeration exists in the tweet.,
Case 2,254,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",H1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,,,,,,,,,"Dislike for biden, calling him creepy"
Case 2,254,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",H2,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,12.0,“Creepy Joe biden” name-calling and exxageration,No support for undem process or partisan name calling,No language that supports for partisan violence,No language to assume support for undemocratic candidates,Dislike for president but not necessarily other partisans ,Name calling ,Name calling,No evaluation of poltical fact just statement,
Case 2,254,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",GPT-4o,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,14.0,Uses name-calling 'Creepy Joe Biden'.,Uses name-calling 'Creepy Joe Biden'.,No support for partisan violence.,No support for undemocratic candidates.,Uses name-calling 'Creepy Joe Biden'.,Uses name-calling 'Creepy Joe Biden'.,Uses name-calling 'Creepy Joe Biden'.,Questions legitimacy of Joe Biden as president.,
Case 2,254,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",Claude,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,14.0,"The tweet uses the derogatory nickname 'Creepy Joe Biden' which is partisan name-calling (Factor A), but lacks strong emotional exaggeration beyond the dismissive tone.",The tweet does not show support for any undemocratic practices; it merely questions Biden's legitimacy with a nickname but does not advocate for specific undemocratic actions.,There is no support for partisan violence or threatening language in the tweet.,The tweet does not express support for any undemocratic candidate or willingness to ignore undemocratic practices.,"The use of 'Creepy Joe Biden' reduces trust and signals opposition to the opposing party (Factor A), but there is no strong emotional exaggeration indicating opposition to bipartisanship beyond the name-calling.","The derogatory label 'Creepy Joe Biden' is a term that reduces trust (Factor A), but there is no broader expression of general social distrust beyond the partisan dismissal.","The dismissive 'Creepy Joe Biden' label increases distance and prejudice toward outpartisans (Factor A), but there is no strong emotional exaggeration or community-damaging event referenced.","The rhetorical question 'Who is the REAL president now?' implies Biden is not the legitimate president (Factor A - partisan stance on a contested political fact), combined with the dismissive 'that's for sure' showing emotional certainty (Factor B).",
Case 2,254,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",Llama,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,"Both A (partisan name-calling) and B (emotion or exaggeration) exist, as the tweet uses derogatory language ('Creepy Joe') and an emotional tone to express dislike for the opposing party.","Does not satisfy any factor, as there is no indication of support for undemocratic practices.","Does not satisfy any factor, as there is no indication of support for partisan violence.","Does not satisfy any factor, as there is no indication of support for undemocratic candidates.","Neither A nor B exists, as there is no name-calling or terms that reduce trust, and no emotion or exaggeration related to opposition to bipartisanship.","Neither A nor B exists, as there is no name-calling or terms that reduce trust, and no emotion or exaggeration related to social distrust.","Does not satisfy any factor, as there is no indication of terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination.","One of A (partially presents political facts or discusses controversial issue with partisan stance) exists, as the tweet presents a partisan stance on the legitimacy of the president, but does not exhibit emotion or exaggeration.",
