llm_annotation_id,tweet_id,llm_id,llm_name_version,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,date,annotation_session
1,1,1,deepseek-chat,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .,2,"Partisan name-calling exists with 'MAGA hero' (referring to a partisan group), but no strong emotion or exaggeration beyond 'LOL'.",1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration beyond mild sarcasm.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration beyond mild sarcasm.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration beyond mild sarcasm.",2,"Partisan name-calling exists with 'MAGA hero', but no strong emotion or exaggeration beyond 'LOL'.",1,"No name-calling or terms that reduce trust in people in general, and no emotion/exaggeration beyond mild sarcasm.",1,"No terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination, and no emotion/exaggeration or events damaging communities.",2,"Partially presents political facts with partisan stance by labeling Matt Gaetz as a 'MAGA hero', but no strong emotion or exaggeration beyond 'LOL'.",11,2026-03-04 11:55:42,20260304_1155
2,2,1,deepseek-chat,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰,1,No partisan name-calling or emotion/exaggeration present; tweet expresses personal affection and identity without animosity.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration; tweet is neutral and personal.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration; content is friendly and non-violent.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration; tweet mentions political identity but not candidates.",1,No name-calling/trust-reducing terms or emotion/exaggeration; tweet is positive and does not oppose bipartisanship.,1,"No name-calling/trust-reducing terms or emotion/exaggeration; tweet expresses love and personal connection, indicating trust.",1,No terms increasing distrust/distance or emotion/exaggeration/events damaging communities; tweet promotes affection and closeness.,1,No partial presentation of political facts/partisan stance or emotion/exaggeration; tweet is personal and does not discuss facts.,8,2026-03-04 11:55:58,20260304_1155
3,3,1,deepseek-chat,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD",1,No partisan name-calling or emotion/exaggeration directed at opposing partisans.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration.",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration regarding bipartisanship.",1,"No name-calling or terms that reduce trust, and no emotion/exaggeration indicating social distrust.",1,"No terms increasing distrust/distance, emotion/exaggeration, or events damaging communities.",2,"Partially presents political facts with partisan stance (e.g., praising a candidate with #MAGA hashtag), but no strong emotion/exaggeration.",9,2026-03-04 11:56:13,20260304_1155
4,4,1,deepseek-chat,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack,2,"Partisan name-calling exists with 'Swiftboating' (implying deceptive attacks by Republicans), but no strong emotion or exaggeration.",1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration.",2,"Name-calling exists with 'Swiftboating' reducing trust, but no emotion or exaggeration.",1,"No name-calling or terms reducing trust, and no emotion or exaggeration.",1,"No terms increasing distrust or distance, and no emotion/exaggeration or damaging events.",2,"Partially presents political facts with partisan stance (linking Harlan Crow to Swiftboating and Trump campaign to Walz attack), but no emotion or exaggeration.",11,2026-03-04 11:56:27,20260304_1155
5,5,1,deepseek-chat,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming",1,No partisan name-calling or emotion/exaggeration present; focuses on voting and monitoring.,2,"Does not show support for undemocratic practices (A), but includes partisan name-calling (B1) with 'cheat'.",1,Does not show support for partisan violence; no partisan name-calling or emotion/exaggeration related to violence.,1,Does not show support for undemocratic candidates; no partisan name-calling or emotion/exaggeration in that context.,1,"No name-calling or terms reducing trust, and no emotion/exaggeration regarding bipartisanship.",1,"No name-calling or terms reducing trust, and no emotion/exaggeration indicating social distrust.",1,"No terms increasing distrust, distance, etc., and no emotion/exaggeration or events damaging communities.",2,"Partially presents political facts with partisan stance (A) by implying cheating without evidence, but lacks strong emotion/exaggeration (B).",10,2026-03-04 11:56:43,20260304_1155
6,6,1,deepseek-chat,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2,Emotion or exaggeration exists with 'She’s a threat to our Republic!' but no partisan name-calling.,1,"Does not show support for undemocratic practices, no partisan name-calling, and no emotion/exaggeration beyond general political rhetoric.",1,"Does not show support for partisan violence, no partisan name-calling, and no emotion/exaggeration beyond general political rhetoric.",1,"Does not show support for undemocratic candidates, no partisan name-calling, and no emotion/exaggeration beyond general political rhetoric.",2,Emotion or exaggeration exists with 'She’s a threat to our Republic!' but no name-calling or terms that reduce trust.,1,"No name-calling or terms that reduce trust, and no emotion/exaggeration beyond general political rhetoric.",1,"Does not satisfy any factor; no terms increasing distrust/distance, no emotion/exaggeration, and no events damaging communities.",2,Partially presents political facts with partisan stance in 'Reason not to vote for her. She’s a threat to our Republic!' but no emotion/exaggeration beyond general political rhetoric.,11,2026-03-04 11:57:00,20260304_1155
7,7,1,deepseek-chat,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",3,"Partisan name-calling ('MAGAMoron', 'antisemite') and emotion/exaggeration ('VoteBlueAsifYourLivesDependonit', 'VoteBlueToStopACriminalDictator') exist.",2,"Does not show support for undemocratic practices, but includes partisan name-calling ('MAGAMoron', 'antisemite') and emotion/exaggeration ('VoteBlueAsifYourLivesDependonit', 'VoteBlueToStopACriminalDictator').",1,"Does not show support for partisan violence, partisan name-calling, or emotion/exaggeration related to violence.",1,"Does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration related to candidates.",3,"Name-calling ('MAGAMoron', 'antisemite') reduces trust and emotion/exaggeration ('VoteBlueAsifYourLivesDependonit', 'VoteBlueToStopACriminalDictator') exists.",2,"Name-calling ('MAGAMoron', 'antisemite') reduces trust, but no general emotion/exaggeration about people in general.",2,"Terms that increase distrust or prejudice ('MAGAMoron', 'antisemite') exist, but no emotion/exaggeration or events damaging communities.",3,"Partially presents political facts with partisan stance (labeling GOP candidate negatively) and emotion/exaggeration ('VoteBlueAsifYourLivesDependonit', 'VoteBlueToStopACriminalDictator') exist.",17,2026-03-04 11:57:22,20260304_1155
8,8,1,deepseek-chat,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",2,"Partisan name-calling exists ('mentally ill'), but no clear emotion or exaggeration beyond insult.",1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration beyond insult.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration beyond insult.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration beyond insult.",2,"Name-calling exists ('mentally ill'), but no emotion or exaggeration beyond insult.",2,"Name-calling exists ('mentally ill'), but no emotion or exaggeration beyond insult.",2,"Terms increasing distrust exist ('mentally ill'), but no emotion/exaggeration or events damaging communities.",1,No partial presentation of political facts or emotion/exaggeration beyond insult.,12,2026-03-04 11:57:37,20260304_1155
9,9,1,deepseek-chat,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,1,No partisan name-calling or emotional exaggeration present; the tweet asks a question and states a factual comparison without animosity.,1,"No support for undemocratic practices, partisan name-calling, or emotional exaggeration; the tweet discusses protest numbers without endorsing undemocratic actions.",1,"No support for partisan violence, partisan name-calling, or emotional exaggeration; the tweet focuses on protest sizes without advocating violence.",1,"No support for undemocratic candidates, partisan name-calling, or emotional exaggeration; the tweet does not mention candidates or their practices.",1,"No name-calling or terms that reduce trust, and no emotional exaggeration; the tweet is a neutral inquiry about protest numbers.",1,"No name-calling or terms that reduce trust, and no emotional exaggeration; the tweet questions research habits without expressing general distrust.",1,"No terms increasing distrust, distance, insecurity, hate, prejudice, or discrimination, and no emotional exaggeration or events damaging communities; the tweet is factual and non-confrontational.",2,"Partially presents political facts with a partisan stance by comparing protest numbers at Trump/RNC vs. Kamala/DNC events, but lacks emotional exaggeration.",9,2026-03-04 11:57:55,20260304_1155
10,10,1,deepseek-chat,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1,No partisan name-calling or emotion/exaggeration directed at opposing partisans; it reports a quote without explicit dislike.,1,"Does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration; it describes an event neutrally.",1,"Does not show support for partisan violence, partisan name-calling, or emotion/exaggeration; it is a factual report.",1,"Does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration; it quotes a statement without endorsement.",1,No name-calling/terms reducing trust or emotion/exaggeration regarding bipartisanship; it is a neutral account.,1,No name-calling/terms reducing trust or emotion/exaggeration about people in general; it focuses on a specific incident.,2,"Satisfies A with terms increasing distrust/distance (e.g., 'taking the jobs from the Mexicans' implying prejudice), but not B1 or B2 (no emotion/exaggeration or events damaging communities).",2,"Satisfies A by partially presenting political facts with a partisan stance (quoting a critical view of GOP actions), but not B (no emotion/exaggeration in the tweet itself).",10,2026-03-04 11:58:15,20260304_1155
11,11,1,deepseek-chat,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,1,No partisan name-calling or emotion/exaggeration present.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration.",1,No name-calling/trust-reducing terms or emotion/exaggeration.,1,No name-calling/trust-reducing terms or emotion/exaggeration.,1,No terms increasing distrust/distance or emotion/exaggeration/events damaging communities.,1,No partial presentation of political facts with partisan stance or emotion/exaggeration.,8,2026-03-04 11:58:29,20260304_1155
12,12,1,deepseek-chat,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",1,No partisan name-calling or emotion/exaggeration directed at specific partisans; criticizes media without targeting Democrats or Republicans by name.,1,No support for undemocratic practices like undermining elections or judiciary; criticizes media bias without endorsing undemocratic actions.,1,No support for partisan violence such as threats or harassment; focuses on media criticism without advocating violence.,1,No support for undemocratic candidates; mentions Trump but does not endorse or ignore undemocratic practices for partisan gain.,1,No name-calling or terms reducing trust in bipartisanship; criticizes media without opposing cross-partisan collaboration.,1,No name-calling or terms reducing general trust; focuses on media bias without expressing distrust in people broadly.,1,No terms increasing distrust or distance towards outpartisans; discusses media bias without targeting social groups or events damaging communities.,2,"Partially presents political facts with partisan stance (e.g., 'terribly wrong with our political mainstream media' implies bias), but lacks strong emotion or exaggeration.",9,2026-03-04 11:58:47,20260304_1155
13,13,1,deepseek-chat,tweet,"Trump & MAGA politics crushes by far the Harris & Waltz traitors
 https://t.co/Xo5msZZ1iy",3,Partisan name-calling ('traitors') and emotion/exaggeration ('crushes by far') exist.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration beyond V1 factors.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration beyond V1 factors.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration beyond V1 factors.",3,Name-calling ('traitors') reduces trust and emotion/exaggeration ('crushes by far') exists.,2,"Name-calling ('traitors') reduces trust, but no emotion/exaggeration beyond that.",2,"Terms ('traitors') increase distrust, but no emotion/exaggeration or events damaging communities.",2,"Partisan stance in discussing political figures, but no emotion/exaggeration beyond that.",15,2026-03-04 11:59:03,20260304_1155
14,14,1,deepseek-chat,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,1,No partisan name-calling or emotion/exaggeration present.,1,"Does not show support for undemocratic practices, partisan name-calling, or emotion/exaggeration.",1,"Does not show support for partisan violence, partisan name-calling, or emotion/exaggeration.",1,"Does not show support for undemocratic candidates, partisan name-calling, or emotion/exaggeration.",1,No name-calling/terms reducing trust or emotion/exaggeration present.,1,No name-calling/terms reducing trust or emotion/exaggeration present.,1,"Does not satisfy factors A, B1, or B2.",2,"Partially presents political facts with partisan stance by stating 'America has never been a nation' in a controversial context, but lacks emotion/exaggeration.",9,2026-03-04 11:59:17,20260304_1155
15,15,1,deepseek-chat,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",2,"Contains partisan name-calling 'maga' (Factor A), but no clear emotion or exaggeration (Factor B).",1,"No support for undemocratic practices (A), no partisan name-calling beyond 'maga' (B1), and no emotion/exaggeration (B2).",1,"No support for partisan violence (A), no partisan name-calling beyond 'maga' (B1), and no emotion/exaggeration (B2).",1,"No support for undemocratic candidates (A), no partisan name-calling beyond 'maga' (B1), and no emotion/exaggeration (B2).",2,"Contains name-calling 'maga' (Factor A), but no emotion or exaggeration (Factor B).",1,No name-calling or terms that reduce trust (A) and no emotion/exaggeration (B).,1,"No terms increasing distrust/distance (A), no emotion/exaggeration (B1), and no events damaging communities (B2).",2,"Partially presents political facts with partisan stance by using 'maga' (Factor A), but no emotion or exaggeration (Factor B).",11,2026-03-04 11:59:35,20260304_1155
16,16,1,deepseek-chat,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years & the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",1,No partisan name-calling or emotion/exaggeration present; mentions 'GOP candidate' and 'Dem-run' neutrally.,1,No support for undemocratic practices; no partisan name-calling or emotion/exaggeration.,1,No support for partisan violence; no partisan name-calling or emotion/exaggeration.,1,No support for undemocratic candidates; no partisan name-calling or emotion/exaggeration.,1,No name-calling or terms reducing trust; no emotion/exaggeration.,1,No name-calling or terms reducing trust; no emotion/exaggeration.,1,No terms increasing distrust or distance; no emotion/exaggeration or events damaging communities.,2,"Partially presents political facts with partisan stance (e.g., 'MN media is Dem-run so it was largely smothered'), but no strong emotion/exaggeration.",9,2026-03-04 11:59:50,20260304_1155
17,17,1,deepseek-chat,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,2,"Partisan name-calling exists with '#SleepyJoe' (A), but no strong emotion or exaggeration (B) is present.",1,"No support for undemocratic practices (A), partisan name-calling (B1), or emotion/exaggeration (B2) is evident.",1,"No support for partisan violence (A), partisan name-calling (B1), or emotion/exaggeration (B2) is present.",1,"No support for undemocratic candidates (A), partisan name-calling (B1), or emotion/exaggeration (B2) is shown.",2,"Partisan name-calling exists with '#SleepyJoe' (A), but no emotion or exaggeration (B) is present.",1,No name-calling or terms that reduce trust (A) and no emotion or exaggeration (B) are evident.,1,"No terms that increase distrust or distance (A), emotion/exaggeration (B1), or events damaging communities (B2) are present.",2,"Partially presents political facts with partisan stance by criticizing the VP's campaign as similar to Biden's 2020 run (A), but no emotion or exaggeration (B) is evident.",11,2026-03-04 12:00:08,20260304_1155
18,18,1,deepseek-chat,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,2,"Partisan name-calling exists with 'maga cult' (Factor A), but no strong emotion or exaggeration (Factor B) is present.",1,"Does not show support for undemocratic practices (A), partisan name-calling (B1), or emotion/exaggeration (B2).",1,"Does not show support for partisan violence (A), partisan name-calling (B1), or emotion/exaggeration (B2).",1,"Does not show support for undemocratic candidates (A), partisan name-calling (B1), or emotion/exaggeration (B2).",2,"Name-calling exists with 'maga cult' (Factor A), but no emotion or exaggeration (Factor B) is present.",1,No name-calling or terms that reduce trust (A) or emotion/exaggeration (B) directed at people in general.,2,"Terms that increase distrust exist with 'maga cult' (A), but no emotion/exaggeration (B1) or events damaging communities (B2) are mentioned.",2,"Partially presents political facts with partisan stance about voter numbers in LA county (A), but no emotion or exaggeration (B) is present.",12,2026-03-04 12:00:26,20260304_1155
19,19,1,deepseek-chat,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",2,"Partisan name-calling exists ('evils of the GOP'), but no strong emotion or exaggeration beyond typical political rhetoric.",1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration related to such practices.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration related to violence.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration related to such candidates.",2,"Name-calling exists ('evils of the GOP') that reduces trust, but no strong emotion or exaggeration beyond typical political rhetoric.",1,"No name-calling or terms that reduce trust in people in general, and no emotion/exaggeration related to social distrust.",1,"No terms increasing distrust, distance, insecurity, hate, prejudice, or discrimination, and no emotion/exaggeration or events damaging communities.",2,"Partisan stance exists (criticizing GOP as 'evils'), but no strong emotion or exaggeration beyond typical political rhetoric.",11,2026-03-04 12:00:43,20260304_1155
20,20,1,deepseek-chat,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,3,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person') exist.,1,"No support for undemocratic practices, no partisan name-calling (targets 'MAGA freaks' but not undemocratic actions), and emotion exists but not for undemocratic support.",1,"No support for partisan violence, no partisan name-calling related to violence, and emotion exists but not for violence.",1,"No support for undemocratic candidates, no partisan name-calling for candidates, and emotion exists but not for candidate support.",3,Name-calling ('MAGA freaks') reduces trust and emotion/exaggeration ('horrible person') exists.,2,"Name-calling ('MAGA freaks') reduces trust, but no strong emotion/exaggeration beyond that.",2,"Terms that increase distrust ('MAGA freaks') exist, but no emotion/exaggeration or events damaging communities.",2,"Partisan stance against Trump supporters exists, but no strong emotion/exaggeration in fact presentation.",15,2026-03-04 12:01:01,20260304_1155
21,21,1,deepseek-chat,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",1,No partisan name-calling or emotion/exaggeration present; tweet states factual comparisons without animosity.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration; tweet focuses on economic history.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration; content is non-violent and factual.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration; tweet praises Obama's actions neutrally.",1,"No name-calling or terms reducing trust, and no emotion/exaggeration; tweet discusses economic performance without opposition to bipartisanship.",1,"No name-calling or terms reducing trust, and no emotion/exaggeration; tweet does not express distrust of people in general.",1,"No terms increasing distrust, distance, etc., and no emotion/exaggeration or events damaging communities; tweet is factual and non-divisive.",2,"Partially presents political facts with a partisan stance (e.g., 'Obama bailed them out', 'Donald Trump inherited a good economy from Obama'), but no emotion/exaggeration.",9,2026-03-04 12:01:19,20260304_1155
22,22,1,deepseek-chat,reply,@Acyn Is this the point where MAGA heads start exploding!!??,2,"Contains partisan name-calling 'MAGA heads' (Factor A), but no clear emotion or exaggeration beyond the exclamation marks which are mild.",1,"Does not show support for undemocratic practices, partisan name-calling, or strong emotion/exaggeration.",1,"Does not show support for partisan violence, partisan name-calling, or strong emotion/exaggeration.",1,"Does not show support for undemocratic candidates, partisan name-calling, or strong emotion/exaggeration.",2,"Contains partisan name-calling 'MAGA heads' (Factor A), but no clear emotion or exaggeration beyond exclamation marks.",1,"No name-calling or terms that reduce trust towards people in general, and no emotion/exaggeration beyond mild exclamation marks.",1,"Does not contain terms increasing distrust, distance, etc., or events damaging communities, and no strong emotion/exaggeration.",2,"Partially presents political facts with partisan stance by referencing 'MAGA' in a mocking context (Factor A), but no strong emotion or exaggeration beyond exclamation marks.",11,2026-03-04 12:01:36,20260304_1155
23,23,1,deepseek-chat,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",2,Contains partisan name-calling ('GOP') but no emotion or exaggeration.,1,"No support for undemocratic practices, partisan name-calling, or emotion/exaggeration.",1,"No support for partisan violence, partisan name-calling, or emotion/exaggeration.",1,"No support for undemocratic candidates, partisan name-calling, or emotion/exaggeration.",2,Contains name-calling ('GOP') but no emotion or exaggeration.,1,"No name-calling or terms that reduce trust, and no emotion or exaggeration.",1,"No terms increasing distrust/distance, emotion/exaggeration, or events damaging communities.",1,"No partial presentation of political facts or partisan stance, and no emotion or exaggeration.",10,2026-03-04 12:01:51,20260304_1155
24,24,1,deepseek-chat,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,2,"Partisan name-calling exists ('GOP is just grifting'), but no strong emotion or exaggeration beyond mild sarcasm ('Hilariously out of touch').",1,"No support for undemocratic practices, no partisan name-calling beyond V1, and no emotion/exaggeration beyond mild sarcasm.",1,"No support for partisan violence, no partisan name-calling beyond V1, and no emotion/exaggeration beyond mild sarcasm.",1,"No support for undemocratic candidates, no partisan name-calling beyond V1, and no emotion/exaggeration beyond mild sarcasm.",2,"Name-calling exists ('GOP is just grifting'), but no strong emotion or exaggeration beyond mild sarcasm.",1,"No name-calling or terms that reduce trust beyond partisan context, and no emotion/exaggeration beyond mild sarcasm.",1,"No terms increasing distrust, distance, etc., no strong emotion/exaggeration, and no events damaging communities.",2,"Partially presents political facts with partisan stance (accusing GOP of grifting), but no strong emotion or exaggeration beyond mild sarcasm.",11,2026-03-04 12:02:10,20260304_1155
